short_name,github_repo,github_url,stars,license,domain,phase,description
aiohttp,aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,15000,Apache-2.0,Web/API,original,Async HTTP client/server middleware pipeline
alembic,sqlalchemy/alembic,https://github.com/sqlalchemy/alembic,3000,MIT,Data/DB,original,Database migration framework revision DAG
click,pallets/click,https://github.com/pallets/click,16000,BSD-3,CLI/TUI,original,Composable CLI framework parameter types
dramatiq,Bogdanp/dramatiq,https://github.com/Bogdanp/dramatiq,4000,LGPL-3.0,Infra/System,original,Task queue actor model middleware chain
espnet,espnet/espnet,https://github.com/espnet/espnet,9000,Apache-2.0,ML/Research,original,End-to-end speech processing complex training pipelines
httpx,encode/httpx,https://github.com/encode/httpx,14000,BSD-3,Web/API,original,Modern HTTP client sync/async transport API
hydra,facebookresearch/hydra,https://github.com/facebookresearch/hydra,9000,MIT,DevTools,original,Hierarchical config composition plugin system
hypothesis,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,8000,MPL-2.0,DevTools,original,Property-based testing strategy composition
mypy,python/mypy,https://github.com/python/mypy,19000,MIT,DevTools,original,Static type checker plugin architecture
optuna,optuna/optuna,https://github.com/optuna/optuna,12000,MIT,ML/Research,original,Hyperparameter optimization pruning storage
paramiko,paramiko/paramiko,https://github.com/paramiko/paramiko,9000,LGPL-2.1,Infra/System,original,SSH2 protocol transport/channel abstraction
peewee,coleifer/peewee,https://github.com/coleifer/peewee,11000,MIT,Data/DB,original,Lightweight ORM query builder model metaclasses
pendulum,sdispater/pendulum,https://github.com/sdispater/pendulum,6000,MIT,Other,original,DateTime library timezone handling
polars,pola-rs/polars,https://github.com/pola-rs/polars,33000,MIT,Data/DB,original,DataFrame library lazy evaluation query optimization
pydantic,pydantic/pydantic,https://github.com/pydantic/pydantic,23000,MIT,DevTools,original,Data validation model serialization computed fields
rich,Textualize/rich,https://github.com/Textualize/rich,51000,MIT,CLI/TUI,original,Terminal rendering layout engine syntax highlighting
sentence-transformers,UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,16000,Apache-2.0,ML/Research,original,Sentence embeddings training framework
sqlalchemy,sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,10000,MIT,Data/DB,original,SQL toolkit ORM expression language engine
starlette,encode/starlette,https://github.com/encode/starlette,11000,BSD-3,Web/API,original,ASGI toolkit routing middleware WebSockets
textual,Textualize/textual,https://github.com/Textualize/textual,27000,MIT,CLI/TUI,original,TUI framework reactive widgets CSS engine
fastapi,fastapi/fastapi,https://github.com/fastapi/fastapi,96000,MIT,Web/API,new,Dependency injection Pydantic integration async routing
scrapy,scrapy/scrapy,https://github.com/scrapy/scrapy,61000,BSD-3,Web/API,new,Complex spider/middleware/pipeline architecture
mitmproxy,mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,43000,MIT,Networking,new,TLS interception flow processing addon system
black,psf/black,https://github.com/psf/black,41000,MIT,DevTools,new,AST manipulation formatting engine
poetry,python-poetry/poetry,https://github.com/python-poetry/poetry,34000,MIT,DevTools,new,Dependency resolution PEP compliance installer
celery,celery/celery,https://github.com/celery/celery,28000,BSD-3,Infra/System,new,Distributed workers broker abstraction result backends
locust,locustio/locust,https://github.com/locustio/locust,28000,MIT,Infra/System,new,Distributed test runner event system web UI
loguru,Delgan/loguru,https://github.com/Delgan/loguru,24000,MIT,Other,new,Sink system lazy formatting structured logging
faker,joke2k/faker,https://github.com/joke2k/faker,19000,MIT,Other,new,Provider system locale support complex generators
typer,fastapi/typer,https://github.com/fastapi/typer,19000,MIT,CLI/TUI,new,Click-based type-hint driven CLI framework
luigi,spotify/luigi,https://github.com/spotify/luigi,19000,Apache-2.0,Data Pipelines,new,DAG scheduling worker coordination targets
sanic,sanic-org/sanic,https://github.com/sanic-org/sanic,19000,MIT,Web/API,new,HTTP/2 streaming middleware blueprints
networkx,networkx/networkx,https://github.com/networkx/networkx,17000,BSD-3,Data/DB,new,Algorithm library graph data structures
pre-commit,pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,15000,MIT,DevTools,new,Hook framework multi-language caching
dagster,dagster-io/dagster,https://github.com/dagster-io/dagster,15000,Apache-2.0,Data Pipelines,new,Asset DAGs type system IO managers
beets,beetbox/beets,https://github.com/beetbox/beets,15000,MIT,Other,new,Plugin architecture music database autotagger
dask,dask/dask,https://github.com/dask/dask,14000,BSD-3,Data Pipelines,new,Lazy evaluation task graphs schedulers
psutil,giampaolo/psutil,https://github.com/giampaolo/psutil,11000,BSD-3,Infra/System,new,Cross-platform process/system info
python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,10000,BSD-3,CLI/TUI,new,Interactive terminal toolkit completion key bindings
falcon,falconry/falcon,https://github.com/falconry/falcon,10000,Apache-2.0,Web/API,new,Minimalist WSGI/ASGI framework
attrs,python-attrs/attrs,https://github.com/python-attrs/attrs,5000,MIT,Infra/System,added,Python classes without boilerplate
tortoise-orm,tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,4000,Apache-2.0,Data/DB,added,Easy async ORM inspired by Django
aiogram,aiogram/aiogram,https://github.com/aiogram/aiogram,5000,MIT,Web/API,added,Modern async Telegram bot framework
authlib,lepture/authlib,https://github.com/lepture/authlib,4000,BSD-3,Web/API,added,OAuth and OpenID Connect library for Python
strawberry,strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,4000,MIT,Web/API,added,GraphQL library for Python using type hints
hug,hugapi/hug,https://github.com/hugapi/hug,7000,MIT,Web/API,added,Pythonic API framework built on Falcon
uplink,prkumar/uplink,https://github.com/prkumar/uplink,1000,MIT,Web/API,added,Declarative HTTP client library
twisted,twisted/twisted,https://github.com/twisted/twisted,6000,MIT,Infra/System,added,Event-driven networking engine
