task_id,repo,github_pr,commit_sha,base_sha,merge_base_sha,title,human_reviewer_comments,new_eval_verdict,new_alignment_verdict,new_eval_reason,new_alignment_reason,swebench_instance_id,author,date,score,has_test_patch,is_multi_file,is_multi_package,is_refactoring,packages_touched,package_names,source_files,test_files,other_files,source_lines_changed,test_lines_changed,f2p_tests,p2p_tests,summary,match_key_used,new_task_id,new_stage,new_hardness_band,new_hardness_verdict,new_alignment_verdict,new_alignment_reason,new_needs_human_review,new_human_review_reason,new_swebench_instance_id,new_commit_sha,agent_success
ansible-379058e1,ansible,https://github.com/ansible/ansible/commit/379058e10f3dbc0fdcaf80394bd09b18927e7d33,379058e10f3dbc0fdcaf80394bd09b18927e7d33,e658995760ac1209cb12df97027a2e282b4536ae,e658995760ac1209cb12df97027a2e282b4536ae,"""## Title:\n\nInconsistent Use and Dependencies on the Internal Shim for Importing Collection ABCs\n\n## Description:\n\",looks like a trivial import change,reject,ok,"This commit is pure mechanical reformatting — replacing one import path (`ansible.module_utils.common._collections_compat`) with another (`ansible.module_utils.six.moves.collections_abc` or `collections.abc`) across ~19 files. The core logic is trivial: find-and-replace import statements. Matches hard_filter:pure_mechanical_reformatting. Additionally, while there are minor test file changes (test_recursive_finder.py removing a line, test_collections.py changing an import), these don't exercise new behavior — they just reflect the same mechanical import swap. Q1: no model divergence expected since every model follows the same find-line-fix-line pattern. Q2: core problem is trivial — import path substitution. Matches BT1 pattern — trivial core logic in a complex repo.","The instruction and tests are tightly aligned on the import-policy changes and packaging/sanity behavior. The instruction explicitly requires: ""In all files under `lib/ansible/modules/**` and `lib/ansible/module_utils/**`, collection ABCs must be imported exclusively from `ansible.module_utils.six.moves.collections_abc`"" and ""In controller code and controller plugins ... collection ABCs must be imported from the `collections.abc` standard library."" The reference tests reflect exactly that policy: `test/lib/ansible_test/_util/controller/sanity/pylint/plugins/unwanted.py` now sets `collections=UnwantedEntry('ansible.module_utils.six.moves.collections_abc', ...)`, `test/units/executor/module_common/test_recursive_finder.py` removes `'ansible/module_utils/common/_collections_compat.py'` from `MODULE_UTILS_BASIC_FILES`, and controller-side test artifact `test/integration/.../lookup/noop.py` imports `from collections.abc import Sequence`. The instruction also names the shim and its exact exported names: ""The `lib/ansible/module_utils/common/_collections_compat.py` module must act solely as a compatibility shim that re-exports ..."" and ""The shim must expose exactly these names..."", which matches the diff changing that module to a pure re-export. No reference test appears to require unstated fixture design, private helper access beyond what the instruction already names, or fragile format assertions.",instance_ansible__ansible-379058e10f3dbc0fdcaf80394bd09b18927e7d33-v1055803c3a812189a1133297f7f5468579283f86,swebench-pro,,6.5,TRUE,TRUE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/update-collections-abc-imports.yml; lib/ansible/module_utils/basic.py; lib/ansible/module_utils/common/_collections_compat.py; lib/ansible/module_utils/common/collections.py; lib/ansible/module_utils/common/dict_transformations.py; lib/ansible/module_utils/common/json.py; lib/ansible/module_utils/common/parameters.py; lib/ansible/module_utils/common/text/converters.py; lib/ansible/module_utils/compat/_selectors2.py; lib/ansible/modules/uri.py; lib/ansible/plugins/shell/__init__.py,test/integration/targets/ansible-doc/broken-docs/collections/ansible_collections/testns/testcol/plugins/lookup/noop.py; test/lib/ansible_test/_util/controller/sanity/pylint/plugins/unwanted.py; test/support/integration/plugins/module_utils/network/common/utils.py; test/support/network-integration/collections/ansible_collections/ansible/netcommon/plugins/module_utils/network/common/utils.py; test/units/executor/module_common/test_recursive_finder.py; test/units/module_utils/common/test_collections.py; test/units/module_utils/conftest.py; test/units/modules/conftest.py,,81,19,,,,swebench_instance_id,ansible-379058e1,rejected,,,,,FALSE,,instance_ansible__ansible-379058e10f3dbc0fdcaf80394bd09b18927e7d33-v1055803c3a812189a1133297f7f5468579283f86,379058e10f3dbc0fdcaf80394bd09b18927e7d33,TRUE
ansible-395e5e20,ansible,https://github.com/ansible/ansible/commit/395e5e20fab9cad517243372fa3c3c5d9e09ab2a,395e5e20fab9cad517243372fa3c3c5d9e09ab2a,cd64e0b070f8630e1dcc021e594ed42ea7afe304,cd64e0b070f8630e1dcc021e594ed42ea7afe304,Title,trivial replacing of an enum,reject,leaked,"Matches BT1 pattern — trivial core logic in a complex repo. The commit is a mechanical refactoring that replaces integer constants with IntEnum/IntFlag enums and adds backward-compatible deprecation shims. The core logic is a straightforward find-and-replace of constant references (e.g., `self.ITERATING_TASKS` → `IteratingStates.TASKS`), plus a metaclass and `__getattr__` for backward compatibility. While the repo is complex, the actual transformation is mechanical and does not require deep architectural reasoning. Models will not meaningfully diverge in approach — all will follow a systematic replacement strategy. Q1 fails (no strategy divergence) and Q2 fails (core problem is not genuinely hard).","The instruction substantially reveals the exact implementation path and symbols introduced by the patch, beyond describing behavior. It names exact internal files and concrete types: ""The module `lib/ansible/executor/play_iterator.py` must expose two public enumerations: IteratingStates ... and FailedStates as an `IntFlag`"", and further specifies ""The golden patch introduces: ... Name: `MetaPlayIterator` ... Description: Intercepts legacy attribute access on the `PlayIterator` class"". It also prescribes modified modules: ""This includes usage within `run_state`, `fail_state`, and related control structures in `play_iterator.py`, `strategy/__init__.py`, and `strategy/linear.py`."" These details let a reader reconstruct the fix directly rather than reason from the bug report. The reference tests are otherwise aligned with the instruction: they import `IteratingStates` and `FailedStates`, verify deprecated `PlayIterator.ITERATING_*` / `FAILED_*` access at class and instance level, and exercise unchanged iteration behavior.",instance_ansible__ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a-v7eee2454f617569fd6889f2211f75bc02a35f9f8,swebench-pro,,6.5,TRUE,TRUE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/74511-PlayIterator-states-enums.yml; lib/ansible/executor/play_iterator.py; lib/ansible/plugins/strategy/__init__.py; lib/ansible/plugins/strategy/linear.py,test/units/executor/test_play_iterator.py,,295,39,,,,swebench_instance_id,ansible-395e5e20,rejected,,,,,FALSE,,instance_ansible__ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a-v7eee2454f617569fd6889f2211f75bc02a35f9f8,395e5e20fab9cad517243372fa3c3c5d9e09ab2a,TRUE
ansible-40ade1f8,ansible,https://github.com/ansible/ansible/pull/83508,40ade1f84b8bb10a63576b0ac320c13f57c87d34,9ab63986ad528a6ad5bf4c59fe104d5106d6ef9b,9ab63986ad528a6ad5bf4c59fe104d5106d6ef9b,**Setup module: mounts not starting with `/` are not listed in `ansible_mount` facts**,this is from a real bug about mount paths https://github.com/ansible/ansible/issues/24644,accept,narrow_tests,"Q1: Models will diverge significantly in approach. This is a full new module implementation (mount_facts) requiring multi-platform parsing (Linux, BSD, AIX, Solaris), integration with Ansible's module system, timeout handling, source deduplication, and filtering. Q2: The core problem is genuinely hard — it requires cross-platform mount format parsing, correct source resolution with aliases (all/static/dynamic), fallback behavior for mount binaries, UUID lookup chains, and deduplication logic. Q3: Comprehensive unit tests exist (394 lines) plus integration tests (193 lines) with extensive test data (600 lines). Q4: Pure Python. Q5: Commit is from 2024, but the task complexity and Ansible-specific integration reduce contamination risk. Per design_principles, the integration challenge — wiring parsing for multiple mount formats into Ansible's facts system with proper timeout handling, source resolution, and deduplication — is where models will diverge.","The instruction specifies the public module contract at a high level, but the reference tests require additional unstated internal APIs, exact source-resolution behavior, and precise message text. For example, tests directly call internal helpers and expect exact names/signatures not mentioned in the instruction: `module = AnsibleModule(argument_spec=mount_facts.get_argument_spec(), supports_check_mode=True)`, `list(mount_facts.gen_mounts_by_source(module))`, `mount_facts.get_mount_facts(module)`, and parser helpers like `gen_fstab_entries`, `gen_vfstab_entries`, `gen_mnttab_entries`, `gen_aix_filesystems_entries`, `gen_mounts_from_stdout`, `get_partition_uuid`, and `handle_deduplication`. The instruction only says `Name: mount_facts` and describes inputs/outputs; it does not require these helper symbols. Tests also encode design choices absent from the instruction, e.g. default source expansion and fallback semantics: `([""all""], rhel_mock_fs, rhel9_4.mount, rhel9_4.mtab_parsed + rhel9_4.fstab_parsed)` and warning on duplicate resolved sources: `expected_warning = ""mount_facts option 'sources' contains duplicate entries, repeat sources will be ignored:""`. Finally, assertions depend on exact error/warning wording such as `match=""argument 'timeout' must be a positive number or null""`, `match=""sources contains an empty string""`, and `match=""Command '[^']*mount' timed out after 0.0 seconds""`, while the instruction only specifies timeout behavior conceptually (`supporting actions to 'error', 'warn', or 'ignore'`) and does not specify message text.",instance_ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34-v6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,swebench-pro,,7,TRUE,FALSE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/83508_mount_facts.yml; lib/ansible/modules/mount_facts.py,test/integration/targets/mount_facts/aliases; test/integration/targets/mount_facts/meta/main.yml; test/integration/targets/mount_facts/tasks/main.yml; test/units/modules/mount_facts_data.py; test/units/modules/test_mount_facts.py,,653,1194,,,,swebench_instance_id,ansible-40ade1f8,promising,,,,,FALSE,,instance_ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34-v6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,40ade1f84b8bb10a63576b0ac320c13f57c87d34,TRUE
ansible-83909bfa,ansible,https://github.com/ansible/ansible/pull/72288,83909bfa22573777e3db5688773bda59721962ad,b6360dc5e068288dcdf9513dba732f1d823d1dfe,b6360dc5e068288dcdf9513dba732f1d823d1dfe,"""# ansible-galaxy login command removal and migration to API token authentication\n\n## Description:\n\n The ansible-gal","looks trivial, deprecating a login path",reject,ok,"Q2: core problem is trivial — this is a removal/deletion commit. The task involves deleting a command (login), removing a file (login.py), removing a config entry, updating error messages, and removing tests. There is no integration complexity or architectural reasoning required. It matches the BT1 pattern — trivial core logic regardless of repo size. Additionally, the test changes are purely deletions (removing test_parse_login, loosening an error message assertion), not additions that exercise new behavior, making verification weak.","The instruction matches the changed test surface and the diff. It explicitly requires removing the login functionality: ""The implementation must completely remove the ansible-galaxy login submodule by eliminating the login.py file and all its associated functionalities,"" which aligns with the diff deleting `lib/ansible/galaxy/login.py` and removing `test_parse_login` from `test/units/cli/test_galaxy.py`. It also requires updating Galaxy API auth guidance: ""The functionality must update the error message in the Galaxy API to indicate the new authentication options via token file or --token parameter,"" which matches `test_api_no_auth_but_required()` expecting `""No access token or username set. A token can be set with --api-key or at ""` and the diff changing `_add_auth_token` accordingly. Finally, it requires CLI validation for the removed command: ""The implementation must add validation in the Galaxy CLI to detect attempts to use the removed login command and display an informative error message with alternatives,"" which matches the new guard added in `lib/ansible/cli/galaxy.py` for `args[1:3] == ['role', 'login']`. The provided reference tests are broad existing suites, but the relevant modified assertions are predictable from the instruction rather than introducing unstated requirements.",instance_ansible__ansible-83909bfa22573777e3db5688773bda59721962ad-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,swebench-pro,,8,TRUE,TRUE,TRUE,FALSE,3,changelogs; docs; lib,changelogs/fragments/galaxy_login_bye.yml; docs/docsite/rst/porting_guides/porting_guide_base_2.10.rst; docs/docsite/rst/porting_guides/porting_guide_base_2.11.rst; lib/ansible/cli/galaxy.py; lib/ansible/config/base.yml; lib/ansible/galaxy/api.py; lib/ansible/galaxy/login.py,test/units/cli/test_galaxy.py; test/units/galaxy/test_api.py,,201,10,,,,swebench_instance_id,ansible-83909bfa,rejected,,,,,FALSE,,instance_ansible__ansible-83909bfa22573777e3db5688773bda59721962ad-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,83909bfa22573777e3db5688773bda59721962ad,FALSE
ansible-a6e671db,ansible,https://github.com/ansible/ansible/pull/78223,a6e671db25381ed111bbad0ab3e7d97366395d05,1f59bbf4f39504c8f2087f8132f2475a6ac38dcb,1f59bbf4f39504c8f2087f8132f2475a6ac38dcb,**Title: Incorrect Processor Facts Reported on AIX**,small bugfix about correctly detecting number of cpus,reject,ok,"Matches BT1 pattern — trivial core logic in a complex repo. The fix is a straightforward relabeling of fields (processor_count→processor_cores, processor_cores→processor_threads_per_core) and adding a multiplication for processor_vcpus plus turning a string into a list. Q1: models will not diverge in approach since the fix is a direct find-line-fix-line remapping of field names and a simple arithmetic addition. Q2: the core problem is not genuinely hard — it's renaming dictionary keys and adding one computed field. Despite being in a large repo (Ansible), the change is entirely local to one method with no integration complexity.","The instruction and tests are closely aligned on the required behavior. The instruction explicitly specifies the same facts and semantics the tests assert: 'The `processor_count` fact should be set to a constant value of `1`', '`processor_cores` fact should represent the total number of processor cores detected from the device list output', '`processor_threads_per_core` fact should default to `1` when no value is available, or use the reported value when present', '`processor_vcpus` fact should be derived by multiplying `processor_cores` and `processor_threads_per_core`', and '`processor` fact should be provided as a list containing the CPU type string extracted from the device attributes.' The test `test_get_cpu_info` asserts exactly those outcomes via `assert scenario['expected_result'] == inst.get_cpu_facts()`, with expected results such as `{'processor': ['PowerPC_POWER7'], 'processor_count': 1, 'processor_cores': 12, 'processor_threads_per_core': 4, 'processor_vcpus': 48}`. Fixtures mock command outputs for the device list and attributes, but that matches the instruction's described data sources ('detected from the device list output' and 'extracted from the device attributes') rather than introducing an unstated design constraint. No private APIs or format-only assertions are involved.",instance_ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05-v0f01c69f1e2528b935359cfe578530722bca2c59,swebench-pro,,6,TRUE,FALSE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/78223_aix_fix_processor_facts.yml; lib/ansible/module_utils/facts/hardware/aix.py,test/units/module_utils/facts/hardware/aix_data.py; test/units/module_utils/facts/hardware/test_aix_processor.py,,30,99,,,,swebench_instance_id,ansible-a6e671db,rejected,,,,,FALSE,,instance_ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05-v0f01c69f1e2528b935359cfe578530722bca2c59,a6e671db25381ed111bbad0ab3e7d97366395d05,TRUE
ansible-b2a289dc,ansible,https://github.com/ansible/ansible/pull/83221,b2a289dcbb702003377221e25f62c8a3608f0e89,6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,"""# Title: Drop support for Python 3.10 on the controller.\n\n**Summary**\n\nCurrently, the ansible core codebase support",trivial removal of python3.10,reject,ok,"hard_filter:version_bump. This commit is a pure version/support-level bump — dropping Python 3.10 controller support. All changes are mechanical: updating version checks, removing Python 2/3.10 compatibility shims, updating CI config, adjusting requirement markers, and removing now-unnecessary workarounds. The test changes only remove tests for the removed workaround (trailing sep normalization cache) rather than adding new behavioral tests. This matches the BT1 pattern (trivial core logic) and the hard_filter for pure version bumps/CI config changes.","The reference tests line up with requirements explicitly stated in the instruction. The constants test matches the controller-version bump described in the instruction and reflected by the test values: ""CONTROLLER_PYTHON_VERSIONS = ( '3.11', '3.12', '3.13', )"". The collection extraction test targets behavior the instruction names directly: ""In lib/ansible/galaxy/collection/__init__.py, _extract_tar_dir must pass the incoming dirname unchanged to tar.getmember(dirname) and raise ansible.errors.AnsibleError with the exact message \""Unable to extract '%s' from collection\"" if the member is missing."" The diff also implements these same behaviors by changing the version gate to 3.11 and replacing cache lookup with ""tar.getmember(dirname)"" while removing ""_ansible_normalized_cache"" usage. Although the top summary mentions 3.10 and one requirement line mentions ""3,12 or after,"" the actual tests, instruction body, and diff consistently center on dropping Python 3.10 controller support in favor of 3.11+. Given the retention-biased policy, this is close enough to aligned rather than unfairly narrow.",instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,swebench-pro,,8,TRUE,TRUE,TRUE,FALSE,6,.azure-pipelines; changelogs; hacking; lib; packaging; setup.cfg,.azure-pipelines/azure-pipelines.yml; changelogs/fragments/remove-python3.10-controller-support.yml; hacking/README.md; lib/ansible/cli/__init__.py; lib/ansible/galaxy/api.py; lib/ansible/galaxy/collection/__init__.py; lib/ansible/utils/collection_loader/_collection_finder.py; packaging/release.py; setup.cfg,test/lib/ansible_test/_data/requirements/constraints.txt; test/lib/ansible_test/_util/target/common/constants.py; test/sanity/ignore.txt; test/units/cli/galaxy/test_collection_extract_tar.py; test/units/requirements.txt,,110,24,,,,swebench_instance_id,ansible-b2a289dc,rejected,,,,,FALSE,,instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,b2a289dcbb702003377221e25f62c8a3608f0e89,TRUE
ansible-c1f2df47,ansible,https://github.com/ansible/ansible/pull/58190,c1f2df47538b884a43320f53e787197793b105e8,57596edcca0ef3bc4d0d90a55d33ac433b407abb,57596edcca0ef3bc4d0d90a55d33ac433b407abb,Title: Add Ansible module to manage BIG-IP message routing routes,addition of a new module,reject,leaked,"matches BT1 pattern — trivial core logic in a complex repo. The commit adds a new Ansible module for BIG-IP message routing routes, but the core logic is entirely boilerplate: parameter passthrough classes (Parameters, ApiParameters, ModuleParameters, Changes), a standard CRUD manager pattern (BaseManager, GenericModuleManager) with exists/create/update/remove methods that follow the exact same template as dozens of other F5 modules in the repo, and standard REST API calls. There is no meaningful integration challenge — the module is self-contained with no wiring into existing systems beyond importing shared utility functions. The tests are also trivial, mocking all device interactions and just checking parameter passthrough. All models would follow the same copy-existing-F5-module-and-adapt strategy with no divergence in approach (Q1 fails, Q2 fails). Additionally, this is a pre-Sept-2025 commit in a very well-known repo with high contamination risk (Q5).","The instruction goes far beyond describing the feature and effectively prescribes the implementation and test contract. It names exact internal classes and methods such as ""Name: `ModuleParameters`"", ""Name: `ApiParameters`"", ""Name: `Difference`"", and even method-level behavior like ""Name: `peers` Type: method Location: `lib/ansible/modules/network/f5/bigip_message_routing_route.py` inside `ModuleParameters`"". It also mirrors the test assertions directly: ""When executed with `state=\""present\""` and the route does not exist, the result must indicate `changed=True` and include the provided parameter values"" and ""The module result dictionary must include `description`, `src_address`, `dst_address`, `peer_selection_mode`, and `peers` when they are provided or changed."" That level of detail reveals the implementation path rather than just the desired behavior.",instance_ansible__ansible-c1f2df47538b884a43320f53e787197793b105e8-v906c969b551b346ef54a2c0b41e04f632b7b73c2,swebench-pro,,3.5,TRUE,FALSE,FALSE,FALSE,1,lib,lib/ansible/modules/network/f5/bigip_message_routing_route.py,test/units/modules/network/f5/fixtures/load_generic_route.json; test/units/modules/network/f5/test_bigip_message_routing_route.py,,553,199,,,,swebench_instance_id,ansible-c1f2df47,rejected,,,,,FALSE,,instance_ansible__ansible-c1f2df47538b884a43320f53e787197793b105e8-v906c969b551b346ef54a2c0b41e04f632b7b73c2,c1f2df47538b884a43320f53e787197793b105e8,FALSE
ansible-e0c91af4,ansible,https://github.com/ansible/ansible/pull/82794,e0c91af45fa9af575d10fd3e724ebc59d2b2d6ac,5d15af3a9563271615fa1d0f5a99a175bfe41a9f,5d15af3a9563271615fa1d0f5a99a175bfe41a9f,Obsolete use of ansible.utils.py3compat.environ in the “env” lookup plugin,"removing unused files, easy",reject,ok,"Matches BT1 pattern — trivial core logic in a complex repo. The change is a straightforward mechanical replacement of `py3compat.environ` with `os.environ` across a few files, plus converting the old compatibility class into a deprecation shim. The core logic is a simple find-and-replace with no architectural reasoning, integration complexity, or preservation-while-adding challenge. While tests exist, they are trivially updated (changing monkeypatch targets). Q1: No model divergence expected — every model would follow the same find-line-fix-line strategy. Q2: Core problem is not genuinely hard — it's removing a Python 2 compatibility layer that's no longer needed.","The instruction and tests align on the core behavioral contract. The instruction explicitly says: ""The `run` method of the `env` lookup module must obtain each requested environment variable using `os.environ.get()` together with the plugin’s configured default value and return a list with the values obtained. It must support UTF‑8 values and return the strings exactly as provided by `os.environ`, without alterations."" The reference tests check exactly that mechanism and behavior by monkeypatching `os.environ.get` and asserting `retval == [exp_value]` for both ASCII-like values and UTF-8 values in `test_env_var_value` and `test_utf8_env_var_value`. There are no private APIs accessed, no extra fixture design choices beyond using the existing `env` lookup plugin, and no format-only assertions.",instance_ansible__ansible-e0c91af45fa9af575d10fd3e724ebc59d2b2d6ac-v30a923fb5c164d6cd18280c02422f75e611e8fb2,swebench-pro,,4.5,TRUE,TRUE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/rm-compat-environ.yml; lib/ansible/config/manager.py; lib/ansible/plugins/lookup/env.py; lib/ansible/utils/py3compat.py,test/units/plugins/lookup/test_env.py,,78,4,,,,swebench_instance_id,ansible-e0c91af4,rejected,,,,,FALSE,,instance_ansible__ansible-e0c91af45fa9af575d10fd3e724ebc59d2b2d6ac-v30a923fb5c164d6cd18280c02422f75e611e8fb2,e0c91af45fa9af575d10fd3e724ebc59d2b2d6ac,TRUE
ansible-e9e60012,ansible,https://github.com/ansible/ansible/pull/84735,e9e6001263f51103e96e58ad382660df0f3d0e39,bddb9a7490b5e9475d0d01a8d906332e81789cde,bddb9a7490b5e9475d0d01a8d906332e81789cde,"""## Title\n\nWinRM Kerberos: Obtaining the TGT with `kinit` fails or is inconsistent depending on the environment and th","removal of code, looks easy",reject,ok,"Q1/Q2: This commit removes pexpect-based code path and simplifies to only use subprocess with start_new_session=True. The core logic change is trivial — replace a branching if/else (pexpect vs subprocess) with just the subprocess path plus one new kwarg (start_new_session=True). This matches the BT1 pattern: trivial core logic despite being in a large repo. All models would follow the same find-and-simplify strategy with no meaningful divergence in approach. The tests are largely deletions of pexpect test cases, not new behavioral verification.","The instruction closely matches what the tests assert for the Kerberos `kinit` flow. It explicitly specifies subprocess/stdin behavior — ""must work without relying on optional third-party libraries"" and ""must read the password from `stdin` on all platforms and not inherit the current TTY"" — which aligns with the test coverage around `subprocess.Popen`. It also names the option semantics checked by tests: ""`ansible_winrm_kinit_cmd` must be accepted"", ""`ansible_winrm_kinit_args` must be accepted ... appended ... before the Kerberos principal"", and ""If `ansible_winrm_kerberos_delegation` is `True` and no `kinit_args` are specified, the `kinit` command must include `-f` before the principal."" The instruction further precisely specifies the error text asserted by tests: ""`Kerberos auth failure for principal <principal>: <redacted_stderr>`"" and ""`Kerberos auth failure when calling kinit cmd '<path_or_name>': <system_error>`."" While the tests do call the private `_kerb_auth` helper, the instruction names the relevant behavioral contract in enough detail that this does not create an unfair hidden requirement, and the remaining tests outside `_kerb_auth` are pre-existing/general WinRM behavior not in conflict with the described change.",instance_ansible__ansible-e9e6001263f51103e96e58ad382660df0f3d0e39-v30a923fb5c164d6cd18280c02422f75e611e8fb2,swebench-pro,,6,TRUE,FALSE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/winrm-kinit-pexpect.yml; lib/ansible/plugins/connection/winrm.py,test/units/plugins/connection/test_winrm.py,,96,122,,,,swebench_instance_id,ansible-e9e60012,rejected,,,,,FALSE,,instance_ansible__ansible-e9e6001263f51103e96e58ad382660df0f3d0e39-v30a923fb5c164d6cd18280c02422f75e611e8fb2,e9e6001263f51103e96e58ad382660df0f3d0e39,FALSE
openlibrary-25858f9f,openlibrary,https://github.com/internetarchive/openlibrary/commit/25858f9f0c165df25742acf8309ce909773f0cdd,25858f9f0c165df25742acf8309ce909773f0cdd,322d7a46cdc965bfabbf9500e98fde098c9d95b2,322d7a46cdc965bfabbf9500e98fde098c9d95b2,"""# Enhancement: Refactor Solr Utility Logic to Improve Maintainability\n\n## Problem / Opportunity\n\nCurrently, Solr-re","generic moving of code, looks easy",reject,ok,"Matches BT1 pattern — trivial core logic in a complex repo. This is a pure mechanical refactoring (move code from one module to a new utils module, update imports). The core logic is entirely unchanged — functions, classes, and tests are copied verbatim between files. No new behavior is added, no existing behavior is modified, and no integration reasoning is required. The tests in test_utils.py are identical copies of the tests removed from test_update_work.py. Models would not diverge in approach since the task is purely mechanical: identify what to move, create the new file, update imports.","The instruction and tests are closely aligned around extracting Solr utility/state/update logic into a dedicated module. The instruction explicitly names the new API surface: ""Move all Solr utility functions, configuration loaders, and shared state ... to a new `solr/utils.py` file"" and lists `SolrUpdateState`, `load_config`, `get_solr_base_url`, `set_solr_base_url`, `get_solr_next`, `set_solr_next`, `solr_update`, and `solr_insert_documents`. The reference tests in `openlibrary/tests/solr/test_utils.py` import exactly `from openlibrary.solr.utils import SolrUpdateState, solr_update` and exercise the required behavior for ""success, service unavailability, invalid requests, network errors, and partial failures in batch updates,"" which is also stated in the instruction. The broader `test_update_work.py` coverage still targets existing update/build behavior and only reflects the refactor by removing imports of `SolrUpdateState`/`solr_update` from `update_work`, which matches the diff moving those symbols into `openlibrary/solr/utils.py`. There are no fixture-only hidden design constraints beyond the named public API, no private API access, and no brittle format assertions.",instance_internetarchive__openlibrary-25858f9f0c165df25742acf8309ce909773f0cdd-v13642507b4fc1f8d234172bf8129942da2c2ca26,swebench-pro,,8,TRUE,TRUE,TRUE,FALSE,2,openlibrary; scripts,openlibrary/solr/update_edition.py; openlibrary/solr/update_work.py; openlibrary/solr/utils.py; scripts/solr_builder/solr_builder/index_subjects.py,openlibrary/tests/solr/test_update_work.py; openlibrary/tests/solr/test_utils.py,,419,294,,,,swebench_instance_id,openlibrary-25858f9f,rejected,,,,,FALSE,,instance_internetarchive__openlibrary-25858f9f0c165df25742acf8309ce909773f0cdd-v13642507b4fc1f8d234172bf8129942da2c2ca26,25858f9f0c165df25742acf8309ce909773f0cdd,TRUE
