task_id,repo,alignment_verdict,new_eval_verdict,agent_success,fail_to_pass_total,pass_to_pass_total,required_total,selected_test_files_count,issue_specificity_count,issue_categories_count,issue_specificity,issue_categories,problem_statement_words,requirements_words,requirements_bullet_count,interface_words,interface_meaningful,patch_files,patch_changed,test_patch_files,test_patch_changed,f2p_bucket,p2p_bucket,selected_test_files_bucket,patch_files_bucket,patch_changed_bucket,test_patch_changed_bucket,requirements_words_bucket
ansible-379058e1,ansible,ok,reject,True,4,66,70,8,3,3,refactoring_enh;code_quality_enh;technical_debt_enh,back_end_knowledge;devops_knowledge;infrastructure_knowledge,252,224,1,5,False,11,81,8,19,02_3-5,03_51-100,04_6+,04_11+,02_51-200,01_0-20,02_101-250
ansible-395e5e20,ansible,leaked,reject,True,8,0,8,1,1,1,core_feat,back_end_knowledge,261,220,6,141,True,4,295,1,39,03_6-10,01_0-10,01_1,03_4-10,03_201-500,02_21-100,02_101-250
ansible-40ade1f8,ansible,narrow_tests,accept,True,48,0,48,48,4,4,major_bug;data_bug;edge_case_bug;compatibility_bug,back_end_knowledge;infrastructure_knowledge;devops_knowledge;api_knowledge,551,196,6,214,True,2,653,5,1194,05_26+,01_0-10,04_6+,02_2-3,04_501+,04_251+,02_101-250
ansible-83909bfa,ansible,ok,reject,False,1,149,150,2,2,3,code_quality_enh;security_enh,back_end_knowledge;security_knowledge;api_knowledge,248,74,0,5,False,7,201,2,10,01_1-2,04_101+,02_2,03_4-10,03_201-500,01_0-20,01_0-100
ansible-a6e671db,ansible,ok,reject,True,2,0,2,2,4,2,major_bug;compatibility_bug;edge_case_bug;data_bug,infrastructure_knowledge;back_end_knowledge,165,78,0,5,False,2,30,2,99,01_1-2,01_0-10,02_2,02_2-3,01_0-50,02_21-100,01_0-100
ansible-b2a289dc,ansible,ok,reject,True,2,0,2,2,1,2,integration_feat,back_end_knowledge;performance_knowledge,315,196,0,5,False,9,110,5,24,01_1-2,01_0-10,02_2,03_4-10,02_51-200,02_21-100,02_101-250
ansible-c1f2df47,ansible,leaked,reject,False,4,0,4,1,3,3,core_feat;api_feat;integration_feat,infrastructure_knowledge;devops_knowledge;api_knowledge,131,190,9,1007,True,1,553,2,199,02_3-5,01_0-10,01_1,01_1,04_501+,03_101-250,02_101-250
ansible-e0c91af4,ansible,ok,reject,True,4,0,4,1,3,2,refactoring_enh;code_quality_enh;technical_debt_enh,back_end_knowledge;devops_knowledge,140,52,0,5,False,4,78,1,4,02_3-5,01_0-10,01_1,03_4-10,02_51-200,01_0-20,01_0-100
ansible-e9e60012,ansible,ok,reject,False,8,20,28,1,4,4,refactoring_enh;technical_debt_enh;dev_ops_enh;code_quality_enh,back_end_knowledge;devops_knowledge;security_knowledge;authentication_authorization_knowledge,335,245,1,5,False,2,96,1,122,03_6-10,02_11-50,01_1,02_2-3,02_51-200,03_101-250,02_101-250
openlibrary-25858f9f,openlibrary,ok,reject,True,6,33,39,2,3,3,code_quality_enh;refactoring_enh;dev_ops_enh,back_end_knowledge;api_knowledge;devops_knowledge,196,273,1,455,True,4,419,2,294,03_6-10,02_11-50,02_2,03_4-10,03_201-500,04_251+,03_251-500
openlibrary-3aeec6af,openlibrary,ok,reject,False,2,7,9,1,2,2,code_quality_enh;refactoring_enh,back_end_knowledge;api_knowledge,219,168,10,84,True,2,104,1,20,01_1-2,01_0-10,01_1,02_2-3,02_51-200,01_0-20,02_101-250
openlibrary-3f580a5f,openlibrary,narrow_tests,reject,True,2,41,43,2,1,2,code_quality_enh,back_end_knowledge;api_knowledge,186,113,1,5,False,3,75,2,16,01_1-2,02_11-50,02_2,02_2-3,02_51-200,01_0-20,02_101-250
openlibrary-58999808,openlibrary,narrow_tests,reject,True,5,0,5,1,1,4,api_feat,back_end_knowledge;web_knowledge;api_knowledge;database_knowledge,148,156,10,112,True,2,97,1,12,02_3-5,01_0-10,01_1,02_2-3,02_51-200,01_0-20,02_101-250
openlibrary-89e4b443,openlibrary,ok,reject,True,2,12,14,1,3,1,edge_case_bug;code_quality_enh;refactoring_enh,back_end_knowledge,155,209,9,5,False,1,32,1,68,01_1-2,02_11-50,01_1,01_1,01_0-50,02_21-100,02_101-250
openlibrary-9c392b60,openlibrary,ok,reject,True,1,58,59,1,2,4,refactoring_enh;code_quality_enh,back_end_knowledge;api_knowledge;performance_knowledge;ds_knowledge,145,54,3,5,False,3,52,1,2,01_1-2,03_51-100,01_1,02_2-3,02_51-200,01_0-20,01_0-100
openlibrary-e010b2a1,openlibrary,ok,reject,True,1,1,2,1,1,1,core_feat,back_end_knowledge,132,48,2,5,False,7,120,1,1,01_1-2,01_0-10,01_1,03_4-10,02_51-200,01_0-20,01_0-100
qutebrowser-0833b5f6,qutebrowser,ok,reject,True,1,9,10,1,3,3,code_quality_enh;refactoring_enh;technical_debt_enh,desktop_knowledge;ui_ux_knowledge;back_end_knowledge,86,24,1,5,False,3,30,1,2,01_1-2,01_0-10,01_1,02_2-3,01_0-50,01_0-20,01_0-100
qutebrowser-3d01c201,qutebrowser,leaked,reject,True,12,371,383,3,3,3,refactoring_enh;code_quality_enh;performance_enh,back_end_knowledge;web_knowledge;performance_knowledge,146,187,6,134,True,3,63,2,259,04_11-25,04_101+,03_3-5,02_2-3,02_51-200,04_251+,02_101-250
