task_id,repo,new_eval_verdict,alignment_verdict,agent_success,agent_required_tests_passed,agent_required_tests_total,swebench_fail_to_pass_total,swebench_pass_to_pass_total,required_total_matches_swebench,required_total_bucket,interface_kind,interface_meaningful,interface_placeholder_no_new,requirements_meaningful,requirements_placeholder,interface_char_count,requirements_char_count,source_lines_changed,test_lines_changed,source_file_count,test_file_count,is_multi_file,is_multi_package,is_refactoring
ansible-379058e1,ansible,reject,ok,True,70,70,4,66,True,03_21-100,placeholder_no_new,False,True,True,False,32,1707,81,19,11,8,TRUE,TRUE,FALSE
ansible-395e5e20,ansible,reject,leaked,True,8,8,8,0,True,02_6-20,meaningful,True,False,True,False,1202,1713,295,39,4,1,TRUE,TRUE,FALSE
ansible-40ade1f8,ansible,accept,narrow_tests,True,48,48,48,0,True,03_21-100,meaningful,True,False,True,False,1523,1351,653,1194,2,5,FALSE,TRUE,FALSE
ansible-83909bfa,ansible,reject,ok,False,149,150,1,149,True,04_101+,placeholder_no_new,False,True,True,False,32,472,201,10,7,2,TRUE,TRUE,FALSE
ansible-a6e671db,ansible,reject,ok,True,2,2,2,0,True,01_1-5,placeholder_no_new,False,True,True,False,33,549,30,99,2,2,FALSE,TRUE,FALSE
ansible-b2a289dc,ansible,reject,ok,True,2,2,2,0,True,01_1-5,placeholder_no_new,False,True,True,False,33,1256,110,24,9,5,TRUE,TRUE,FALSE
ansible-c1f2df47,ansible,reject,leaked,False,3,4,4,0,True,01_1-5,meaningful,True,False,True,False,8272,1551,553,199,1,2,FALSE,FALSE,FALSE
ansible-e0c91af4,ansible,reject,ok,True,4,4,4,0,True,01_1-5,placeholder_no_new,False,True,True,False,32,323,78,4,4,1,TRUE,TRUE,FALSE
ansible-e9e60012,ansible,reject,ok,False,26,28,8,20,True,03_21-100,placeholder_no_new,False,True,True,False,32,1622,96,122,2,1,FALSE,TRUE,FALSE
openlibrary-25858f9f,openlibrary,reject,ok,True,39,39,6,33,True,03_21-100,meaningful,True,False,True,False,2985,1937,419,294,4,2,TRUE,TRUE,FALSE
openlibrary-3aeec6af,openlibrary,reject,ok,False,7,9,2,7,True,02_6-20,meaningful,True,False,True,False,674,1233,104,20,2,1,FALSE,FALSE,FALSE
openlibrary-3f580a5f,openlibrary,reject,narrow_tests,True,43,43,2,41,True,03_21-100,placeholder_no_new,False,True,True,False,33,802,75,16,3,2,TRUE,FALSE,FALSE
openlibrary-58999808,openlibrary,reject,narrow_tests,True,5,5,5,0,True,01_1-5,meaningful,True,False,True,False,724,1044,97,12,2,1,FALSE,FALSE,FALSE
openlibrary-89e4b443,openlibrary,reject,ok,True,14,14,2,12,True,02_6-20,placeholder_no_new,False,True,True,False,33,1421,32,68,1,1,FALSE,FALSE,FALSE
openlibrary-9c392b60,openlibrary,reject,ok,True,59,59,1,58,True,03_21-100,placeholder_no_new,False,True,True,False,32,406,52,2,3,1,TRUE,FALSE,FALSE
openlibrary-e010b2a1,openlibrary,reject,ok,True,2,2,1,1,True,01_1-5,placeholder_no_new,False,True,True,False,32,336,120,1,7,1,TRUE,FALSE,FALSE
qutebrowser-0833b5f6,qutebrowser,reject,ok,True,10,10,1,9,True,02_6-20,placeholder_no_new,False,True,True,False,32,170,30,2,3,1,TRUE,FALSE,FALSE
qutebrowser-3d01c201,qutebrowser,reject,leaked,True,383,383,12,371,True,04_101+,meaningful,True,False,True,False,1020,1292,63,259,3,2,TRUE,TRUE,FALSE
qutebrowser-3fd8e129,qutebrowser,reject,leaked,False,2,3,1,2,True,01_1-5,meaningful,True,False,True,False,1683,826,244,234,6,11,TRUE,TRUE,FALSE
qutebrowser-7b603dd6,qutebrowser,reject,ok,True,20,20,14,6,True,02_6-20,meaningful,True,False,True,False,580,1945,60,4,1,1,FALSE,FALSE,FALSE
qutebrowser-a25e8a09,qutebrowser,reject,ok,False,108,117,12,105,True,04_101+,meaningful,True,False,True,False,378,942,52,12,1,2,FALSE,FALSE,FALSE
qutebrowser-bedc9f7f,qutebrowser,reject,ok,True,277,277,17,260,True,04_101+,meaningful,True,False,True,False,580,1778,164,224,4,2,TRUE,FALSE,FALSE
qutebrowser-de4a1c1a,qutebrowser,reject,ok,True,114,114,66,48,True,04_101+,meaningful,True,False,True,False,1216,2960,542,1008,4,2,TRUE,TRUE,FALSE
qutebrowser-ebfe9b7a,qutebrowser,reject,ok,True,56,56,1,55,True,03_21-100,meaningful,True,False,True,False,1054,1237,314,80,2,2,FALSE,FALSE,FALSE
qutebrowser-f91ace96,qutebrowser,reject,ok,True,56,56,4,52,True,03_21-100,meaningful,True,False,True,False,532,1344,64,59,3,2,TRUE,FALSE,FALSE
qutebrowser-fd6790fe,qutebrowser,reject,ok,True,74,74,6,68,True,03_21-100,meaningful,True,False,True,False,1054,1014,89,86,6,6,TRUE,TRUE,FALSE
ansible-1b70260d,ansible,accept,leaked,True,8,8,1,7,True,02_6-20,placeholder_no_new,False,True,True,False,33,1990,55,32,6,7,TRUE,TRUE,FALSE
ansible-1c06c46c,ansible,accept,ok,False,20,22,4,18,True,03_21-100,placeholder_no_new,False,True,True,False,32,1295,71,140,4,4,TRUE,FALSE,FALSE
ansible-42355d18,ansible,accept,ok,True,11,11,10,1,True,02_6-20,meaningful,True,False,True,False,831,1030,89,58,6,4,TRUE,TRUE,FALSE
ansible-5e369604,ansible,accept,ok,False,4,7,5,2,True,02_6-20,meaningful,True,False,True,False,1332,1920,94,50,5,1,TRUE,TRUE,FALSE
ansible-811093f0,ansible,accept,ok,False,1,2,1,1,True,01_1-5,meaningful,True,False,True,False,1143,2533,719,514,10,13,TRUE,TRUE,FALSE
ansible-8127abbc,ansible,reject,ok,True,70,70,10,60,True,03_21-100,meaningful,True,False,True,False,525,1679,241,79,7,6,TRUE,TRUE,FALSE
ansible-949c503f,ansible,accept,ok,False,66,70,4,66,True,03_21-100,meaningful,True,False,True,False,1289,1444,230,122,4,4,TRUE,FALSE,FALSE
ansible-b748edea,ansible,accept,leaked,False,45,46,5,41,True,03_21-100,meaningful,True,False,True,False,1157,2063,269,356,5,13,TRUE,TRUE,FALSE
ansible-d33bedc4,ansible,accept,leaked,False,83,86,5,81,True,03_21-100,placeholder_no_new,False,True,True,False,33,1996,285,233,7,1,TRUE,TRUE,FALSE
ansible-d6d22519,ansible,accept,narrow_tests,False,2,6,4,2,True,02_6-20,placeholder_no_new,False,True,True,False,33,2646,36,209,4,6,TRUE,TRUE,FALSE
ansible-d72025be,ansible,accept,leaked,False,0,5,5,0,True,01_1-5,meaningful,True,False,True,False,2061,3127,294,723,5,6,TRUE,FALSE,FALSE
ansible-de5858f4,ansible,accept,leaked,False,57,58,17,41,True,03_21-100,meaningful,True,False,True,False,925,2563,254,184,4,5,TRUE,TRUE,FALSE
ansible-ea04e004,ansible,accept,narrow_tests,True,3,3,2,1,True,01_1-5,placeholder_no_new,False,True,True,False,33,1823,83,411,6,9,TRUE,TRUE,FALSE
ansible-ecea15c5,ansible,accept,narrow_tests,False,162,168,7,161,True,04_101+,placeholder_no_new,False,True,True,False,33,2496,182,212,3,4,TRUE,TRUE,FALSE
ansible-f8ef3467,ansible,reject,ok,True,72,72,1,71,True,03_21-100,placeholder_no_new,False,True,True,False,33,431,52,8,7,2,TRUE,TRUE,FALSE
openlibrary-08ac40d0,openlibrary,accept,ok,False,125,126,7,119,True,04_101+,placeholder_no_new,False,True,True,False,33,1336,41,38,2,7,FALSE,FALSE,FALSE
openlibrary-111347e9,openlibrary,accept,ok,False,57,59,2,57,True,03_21-100,meaningful,True,False,True,False,650,1149,143,28,5,4,TRUE,FALSE,FALSE
openlibrary-123e6e5e,openlibrary,accept,narrow_tests,True,14,14,14,0,True,02_6-20,meaningful,True,False,True,False,467,947,106,34,2,1,FALSE,TRUE,FALSE
openlibrary-322d7a46,openlibrary,accept,ok,False,9,11,11,0,True,02_6-20,meaningful,True,False,True,False,3241,2480,483,162,2,1,FALSE,TRUE,FALSE
openlibrary-4b7ea297,openlibrary,accept,narrow_tests,True,23,23,23,0,True,03_21-100,meaningful,True,False,True,False,1131,1011,276,101,8,1,TRUE,TRUE,FALSE
openlibrary-53d376b1,openlibrary,accept,ok,False,7,8,4,4,True,02_6-20,meaningful,True,False,True,False,342,2626,59,213,4,1,TRUE,FALSE,FALSE
openlibrary-630221ab,openlibrary,accept,narrow_tests,True,6,6,6,0,True,02_6-20,meaningful,True,False,True,False,3204,1711,328,201,6,1,TRUE,FALSE,FALSE
openlibrary-7edd1ef0,openlibrary,accept,narrow_tests,False,0,2,2,0,True,01_1-5,meaningful,True,False,True,False,1504,1814,212,104,2,1,FALSE,FALSE,FALSE
openlibrary-910b0857,openlibrary,accept,ok,True,6,6,6,0,True,02_6-20,meaningful,True,False,True,False,2053,1945,330,183,9,1,TRUE,TRUE,FALSE
openlibrary-9bdfd29f,openlibrary,accept,narrow_tests,False,11,16,5,11,True,02_6-20,placeholder_no_new,False,True,True,False,33,623,141,116,2,1,FALSE,FALSE,FALSE
openlibrary-a7b7dc57,openlibrary,accept,ok,True,9,9,9,0,True,02_6-20,meaningful,True,False,True,False,357,1142,49,31,2,1,FALSE,FALSE,FALSE
openlibrary-b112069e,openlibrary,accept,ok,True,65,65,3,62,True,03_21-100,meaningful,True,False,True,False,2099,2135,233,39,5,2,TRUE,TRUE,FALSE
openlibrary-b67138b3,openlibrary,accept,narrow_tests,False,53,64,11,53,True,03_21-100,meaningful,True,False,True,False,214,1904,888,356,6,13,TRUE,FALSE,FALSE
openlibrary-ba3abfb6,openlibrary,accept,narrow_tests,True,93,93,51,42,True,03_21-100,meaningful,True,False,True,False,694,1345,48,104,3,2,TRUE,FALSE,FALSE
openlibrary-d109cc7e,openlibrary,reject,narrow_tests,True,2,2,2,0,True,01_1-5,meaningful,True,False,True,False,2362,1733,629,20,10,1,TRUE,TRUE,FALSE
openlibrary-d40ec887,openlibrary,accept,ok,True,28,28,28,0,True,03_21-100,meaningful,True,False,True,False,3014,3183,226,76,3,2,TRUE,FALSE,FALSE
openlibrary-fdbc0d8f,openlibrary,reject,ok,False,37,38,1,37,True,03_21-100,placeholder_no_new,False,True,True,False,33,526,95,35,4,1,TRUE,FALSE,FALSE
qutebrowser-35168ade,qutebrowser,accept,ok,True,16,16,7,9,True,02_6-20,meaningful,True,False,True,False,1210,917,76,23,2,1,FALSE,FALSE,FALSE
qutebrowser-394bfaed,qutebrowser,accept,ok,False,62,70,16,54,True,03_21-100,meaningful,True,False,True,False,2979,3788,560,93,6,2,TRUE,TRUE,FALSE
qutebrowser-ff1c025a,qutebrowser,accept,leaked,False,1533,1537,785,752,True,04_101+,meaningful,True,False,True,False,556,2566,95,48,4,3,TRUE,TRUE,FALSE
ansible-0ea40e09,ansible,reject,ok,True,16,16,1,15,True,02_6-20,meaningful,True,False,True,False,1435,1138,32,11,3,1,TRUE,TRUE,FALSE
ansible-0fd88717,ansible,accept,narrow_tests,False,26,30,4,26,True,03_21-100,placeholder_no_new,False,True,True,False,33,1213,108,17,2,1,FALSE,FALSE,FALSE
ansible-106909db,ansible,reject,ok,True,6,6,2,4,True,02_6-20,meaningful,True,False,True,False,457,573,26,26,3,3,TRUE,TRUE,FALSE
ansible-11c1777d,ansible,reject,ok,False,0,1,1,0,True,01_1-5,meaningful,True,False,True,False,680,866,38,93,1,1,FALSE,FALSE,FALSE
ansible-12734fa2,ansible,reject,ok,True,5,5,1,4,True,01_1-5,meaningful,True,False,True,False,400,1116,26,12,3,1,TRUE,TRUE,FALSE
ansible-164881d8,ansible,reject,ok,False,14,15,1,14,True,02_6-20,placeholder_no_new,False,True,True,False,33,1177,38,34,3,1,TRUE,FALSE,FALSE
ansible-185d4103,ansible,reject,ok,True,29,29,2,27,True,03_21-100,meaningful,True,False,True,False,860,340,70,14,3,1,TRUE,TRUE,FALSE
ansible-189fcb37,ansible,reject,ok,True,5,5,5,0,True,01_1-5,meaningful,True,False,True,False,1004,1591,266,201,2,1,FALSE,FALSE,FALSE
ansible-1a4644ff,ansible,reject,leaked,False,0,11,11,0,True,02_6-20,placeholder_no_new,False,True,True,False,32,1426,116,106,2,1,FALSE,TRUE,FALSE
ansible-1bd7dcf3,ansible,reject,narrow_tests,False,37,39,5,34,True,03_21-100,placeholder_no_new,False,True,True,False,33,1619,137,94,5,2,TRUE,TRUE,FALSE
ansible-1ee70fc2,ansible,reject,ok,True,11,11,1,10,True,02_6-20,placeholder_no_new,False,True,True,False,32,1480,63,49,1,1,FALSE,FALSE,FALSE
ansible-29aea9ff,ansible,accept,narrow_tests,True,14,14,4,10,True,02_6-20,placeholder_no_new,False,True,True,False,32,2173,61,191,3,7,TRUE,TRUE,FALSE
ansible-34db57a4,ansible,reject,ok,False,2,3,3,0,True,01_1-5,meaningful,True,False,True,False,632,1297,29,57,4,2,TRUE,TRUE,FALSE
