model,task,trial_dir,e2e_resolved,f2p_passed,f2p_total,p2p_passed,p2p_total,exam_file_recall,exam_function_recall,comm_file_recall,n_examined_files,n_committed_files,gold_n_files,gold_n_functions,n_steps,n_read_calls,n_bash_calls,n_edit_calls,n_grep_glob_calls,n_todo_calls,files_edited_once,files_edited_2plus,n_test_invocations,first_edit_step,first_test_step,agent_diff_lines,n_examined_nongold,n_examined_test_files,n_examined_doc_files,pre_edit_mention_count,pre_edit_diagnosis_text,gold_diff_lines
codex/openai/openai/gpt-5.5 / effort=xhigh,t2v3-ADd1f1-eval-service-integration,/tmp/e2e-codex-full/jobs/v2b-codex-gpt55-xhigh/baseline-codex-craft-taskgen-v2b-20260429-041506/t2v3-ADd1f1-eval-service-integra-b8EsF7V,0,0,4,18,18,1.0,0.8333,1.0,201,6,4,6,92,0,61,13,0,0,2,4,9,41,37,349,197,45,5,1,"already has the inference/evaluation split and can persist through an injected results manager, but it was still blocked by `@working_in_progress` and the CLI/API never used it. I’ll add a small reusable service runner in `cli_eval.py`, switch both callers to it, and add CLI input resolution for either all paths or all eval-set IDs.
Executed exec_command call_VCKxhY9fcNiuOT4d9wrXr7l2
I’m going to edit `LocalEvalService` first: change the decorator to `@experimental` and add an optional reset hook so the CLI’s existing `reset_data` behavior is preserved when evaluation goes through the service.",373
codex/openai/openai/gpt-5.5 / effort=xhigh,t2v3-ADebd7-toolset-name-prefix,/tmp/e2e-codex-full/jobs/v2b-codex-gpt55-xhigh/baseline-codex-craft-taskgen-v2b-20260429-041506/t2v3-ADebd7-toolset-name-prefix-SZMyssE,0,22,24,4,4,1.0,1.0,1.0,330,14,2,4,108,0,60,21,0,0,8,6,8,35,61,394,328,130,1,3,"exec_command call_GWwxi6YCri4em5RrGcPowQJT
Executed exec_command call_BUeUvkmlxZZwnqfi2tXX3bof
Executed exec_command call_DWmIZUFeRG2peEqZedwTQ0bT
Executed exec_command call_J5XWqyrHfvKt2LTOWa7Geh94
Executed exec_command call_Du2gCB9UXHW2i33HLLAQHyXf
Executed exec_command call_gXYpNuPjGaqbSegGFZLjcdTl
I’m editing `BaseToolset` now. The prefix path will return original tool instances when no prefix is set, but when a prefix is truthy it will shallow-copy each tool, set a single prefixed name, and wrap only the copy’s declaration method to return a copied declaration with the same prefixed name.",72
codex/openai/openai/gpt-5.5 / effort=xhigh,t2v3-AN4f86-angrop-aarch64-support,/tmp/e2e-codex-full/jobs/v2b-codex-gpt55-xhigh/baseline-codex-craft-taskgen-v2b-20260429-041506/t2v3-AN4f86-angrop-aarch64-suppo-bYaCoXu,1,2,2,16,16,1.0,1.0,0.8947,63,18,19,148,174,0,91,37,0,0,10,8,11,54,97,845,44,7,5,8,"command call_4ILra5KsoTZn7X5yqs5YtfZE
Executed exec_command call_FD1MoLJ4PBuKgXaihyjlQXO7
Executed exec_command call_IRkTEpcGh639xpU9Gal7qfnL
Executed exec_command call_Vwvor2tLfVOraWvENef8DQuA
Executed exec_command call_cDn2rZNSSaZf5C90gYcfOtNf
Executed exec_command call_75gII9lH5yoVa3vhKH1ls6NH
Executed exec_command call_1316Jpz83o2O4oEvYrmPCzEz
I’m about to patch the core compatibility pieces: AARCH64 arch metadata, gadget fields/display helpers, timeout error, chain helpers, and the base builder filtering/rebalancing hooks. Then I’ll adjust the analyzer and individual builders to use them.",1949
codex/openai/openai/gpt-5.5 / effort=xhigh,t2v3-AUb452-regex-character-class-support,/tmp/e2e-codex-full/jobs/v2b-codex-gpt55-xhigh/baseline-codex-craft-taskgen-v2b-20260429-041506/t2v3-AUb452-regex-character-clas-mQDGk5s,0,5,10,24,24,1.0,1.0,1.0,107,4,3,7,105,0,69,18,0,0,1,3,10,33,7,588,104,69,6,1,"xecuted exec_command call_8Z7bpOLES1h5RGB0pG9SOsBE
Executed exec_command call_XhEjte6ZZoMmVJUTkzsjDjKi
Executed exec_command call_ivcP5SAyXhExNWtu6n6xpxDB
Executed exec_command call_hhgYAY6zMc1UocAi8UZdPd1v
Executed exec_command call_x5QSVKWz4vAWsD30ThhqkXZ1
Executed exec_command call_YedOWl0UsZ8blElXY103fXkg
Executed exec_command call_ZIeVyc2xgTYuigGESZaIp5Uc
Executed exec_command call_PpOITxI6Yugtpe6SMgWt9o7l
I’m making the parser changes now: new exported character sets, escape handling, class/shorthand tokens, exact quantifier parsing, and regex-specific lexing that no longer drops blanks.",474
codex/openai/openai/gpt-5.5 / effort=xhigh,t2v3-BL60e2-http-client-protocol-refactor,/tmp/e2e-codex-full/jobs/v2b-codex-gpt55-xhigh/baseline-codex-craft-taskgen-v2b-20260429-041506/t2v3-BL60e2-http-client-protocol-qHfuuFM,1,4,4,230,230,0.9444,0.8824,0.3333,274,8,18,85,102,0,66,15,0,0,6,2,8,37,21,714,256,50,17,6,"pkBBzJ
Executed exec_command call_1nFxQG1EDWJCjuLixebxo2zs
Executed exec_command call_4g1XOGFV4XXe9MiSAf6AJcD5
Executed exec_command call_Uviey8Q7W6oBjgxtKjYZM9SO
Executed exec_command call_NvkSolIis7JmfvCQ2LiQwBZv
Executed exec_command call_cIodLTHF4UDvvO8MqVFBcjdh
I found the likely race: `IncomingContent.stream()` consumes and clears the same buffer that `read()` returns later, and wakeups are event-based rather than queue-based. I’m going to make incoming bodies append-only for `read()` and queue-backed for streaming, then add a separate HTTP/2 protocol implementation selected by TLS ALPN.",2615
codex/openai/openai/gpt-5.5 / effort=xhigh,t2v3-BL9bd7-multipart-formdata-roundtrip-fix,/tmp/e2e-codex-full/jobs/v2b-codex-gpt55-xhigh/baseline-codex-craft-taskgen-v2b-20260429-041506/t2v3-BL9bd7-multipart-formdata-r-8U3DiMg,0,12,16,358,358,1.0,0.8125,0.8182,195,11,11,16,104,0,71,19,0,0,6,5,7,26,57,217,184,21,4,4," parser-side content-type parameter parsing.
Executed exec_command call_H3QrsrxrOD5ogsiOOu9Vt4yL
Executed exec_command call_ukA67OFK873I3DqYspDQUIRX
Executed exec_command call_Q72moVQERAQvieMcOvj68bMd
Executed exec_command call_XLlGxP8xDdBFyAtnjNqS5Do9
Executed exec_command call_tVBRWYxobmCZCqlTvwyJcGab
Executed exec_command call_OgGWVwudhhkha2KyN5lQyvyR
Executed exec_command call_iJoph4iVft16OhicCCmB8a58
I’m editing the core implementation now: `FormPart.field`, `StreamedFormPart.read`, and deterministic header line generation so every part has exactly one blank line between headers and body.",242
codex/openai/openai/gpt-5.5 / effort=xhigh,t2v3-BLa5a2-pluggable-binding-converters,/tmp/e2e-codex-full/jobs/v2b-codex-gpt55-xhigh/baseline-codex-craft-taskgen-v2b-20260429-041506/t2v3-BLa5a2-pluggable-binding-co-43tMnQ4,1,14,14,367,367,1.0,1.0,0.8571,279,9,7,2,128,0,94,20,0,0,3,4,16,33,54,378,272,86,15,0,"DVVs
Executed exec_command call_OiQ5QwNSKR6WAQ7bzd81AaWj
Executed exec_command call_eIIWEA77d2HTOCsTuRwac9mt
The main behavior to preserve is the old public API and error flow, while moving primitive/date/enum/literal conversion behind a registry. I’m going to rename the module into a package, add `dates.py` and `converters.py`, then adapt binder construction and normalization to use them.
Executed exec_command call_DztsVAJzP0MkEWkG0xqc32l3
Executed exec_command call_ahqiZg4kn1xAHDBmR2kiYUn3
Executed exec_command call_3NBlspYPP7ma4jiu46uFZ8pj
Executed exec_command call_7Nn496AGKun29IMYVMnAu7D5",508
codex/openai/openai/gpt-5.5 / effort=xhigh,t2v3-BLbca5-mount-prefix-propagation,/tmp/e2e-codex-full/jobs/v2b-codex-gpt55-xhigh/baseline-codex-craft-taskgen-v2b-20260429-041506/t2v3-BLbca5-mount-prefix-propaga-fTdbsst,1,6,6,61,61,1.0,1.0,1.0,230,4,2,7,65,0,46,7,0,0,3,1,6,33,27,168,228,89,12,1,"dZIhn2nPNc5z
Executed exec_command call_woOgUAxjU9kWDopAeAo07UGu
Executed exec_command call_LZTG9ceTaRwrKmTxkhXFhg4R
Executed exec_command call_uFP8Cjcn9MpF3kb8mku8CdAf
Executed exec_command call_tXyf0iT7HAHgSi5MKnLGmrep
I’m going to make the mount registry keep the user-facing mount path for duplicate tracking while using the prefixed full path for ASGI matching, then pass the stripped mount path through `scope[""root_path""]` so children can build full URLs. The file listing code will use request context for href roots instead of assuming the child router’s local route path is the public path.",153
codex/openai/openai/gpt-5.5 / effort=xhigh,t2v3-CA6bc4-cattrs-annotated-overrides,/tmp/e2e-codex-full/jobs/v2b-codex-gpt55-xhigh/baseline-codex-craft-taskgen-v2b-20260429-041506/t2v3-CA6bc4-cattrs-annotated-ove-zwFZtgw,1,12,12,2,2,1.0,1.0,0.5714,170,6,7,9,85,0,62,9,0,0,3,3,6,39,53,224,163,66,33,0,"22guXONd353tb
Executed exec_command call_Kn7SxOjMnF7vX8WmpxV1PWqL
Executed exec_command call_wxb0kX9s9UY3PfOtThw4iQMy
Executed exec_command call_WtDtNjtha3ybzKvMdBr1HOFf
Executed exec_command call_inKdVTQPTeN6QIMAC6iBgqmq
Executed exec_command call_nY5bp3wp0PaQJwEMRMICl71R
The central change will be a small helper that extracts `AttributeOverride` metadata from a field’s top-level `Annotated` annotation, with special handling for `Required`/`NotRequired`. I’ll merge those annotation overrides into the existing override maps only for fields that do not already have an explicit keyword override.",227
codex/openai/openai/gpt-5.5 / effort=xhigh,t2v3-CA872b-splits-during-bed-and-breakfast,/tmp/e2e-codex-full/jobs/v2b-codex-gpt55-xhigh/baseline-codex-craft-taskgen-v2b-20260429-041506/t2v3-CA872b-splits-during-bed-an-tFAxkzu,1,2,2,16,16,1.0,1.0,0.5,98,2,2,5,65,0,40,8,0,0,1,1,5,31,46,327,96,49,12,0," quantity separately for B&B bookkeeping rather than overloading the disposal quantity.
Executed exec_command call_o6OAn7x3qxi5ijZSzq6JaaMr
Executed exec_command call_IjWpeOW4YPpvcf7Y0tumKsck
Executed exec_command call_KIP00lKa0RszKp9hUOev1MGH
Executed exec_command call_BpA2gcMoes2mr6urC6c2pnyh
Executed exec_command call_hYdB2xWp36Rq9MbMFyk9cdFH
I’m about to edit `cgt_calc/main.py` to track split quantities/factors separately from ordinary acquisitions, then update the same-day/B&B acquisition availability calculations to use only paid shares and convert between pre- and post-split quantities.",60
