task_id,repo,github_pr,title,new_eval_verdict,alignment_verdict,alignment_reason,swebench_instance_id,trial_name,agent_success,agent_f2p_tests_passed,agent_f2p_tests_total,agent_f2p_pass_rate,f2p_total_bucket,f2p_result_bucket,source_lines_changed,test_lines_changed,has_test_patch,is_multi_file,is_multi_package,is_refactoring,source_file_count,test_file_count,edit_count,edited_file_count,edited_expected_file_count,edited_source_file_count,edited_test_file_count,bash_count,agent_ran_pytest,agent_ran_tests,edited_files
ansible-379058e1,ansible,https://github.com/ansible/ansible/commit/379058e10f3dbc0fdcaf80394bd09b18927e7d33,"""## Title:\n\nInconsistent Use and Dependencies on the Internal Shim for Importing Collection ABCs\n\n## Description:\n\",reject,ok,"The instruction and tests are tightly aligned on the import-policy changes and packaging/sanity behavior. The instruction explicitly requires: ""In all files under `lib/ansible/modules/**` and `lib/ansible/module_utils/**`, collection ABCs must be imported exclusively from `ansible.module_utils.six.moves.collections_abc`"" and ""In controller code and controller plugins ... collection ABCs must be imported from the `collections.abc` standard library."" The reference tests reflect exactly that policy: `test/lib/ansible_test/_util/controller/sanity/pylint/plugins/unwanted.py` now sets `collections=UnwantedEntry('ansible.module_utils.six.moves.collections_abc', ...)`, `test/units/executor/module_common/test_recursive_finder.py` removes `'ansible/module_utils/common/_collections_compat.py'` from `MODULE_UTILS_BASIC_FILES`, and controller-side test artifact `test/integration/.../lookup/noop.py` imports `from collections.abc import Sequence`. The instruction also names the shim and its exact exported names: ""The `lib/ansible/module_utils/common/_collections_compat.py` module must act solely as a compatibility shim that re-exports ..."" and ""The shim must expose exactly these names..."", which matches the diff changing that module to a pure re-export. No reference test appears to require unstated fixture design, private helper access beyond what the instruction already names, or fragile format assertions.",instance_ansible__ansible-379058e10f3dbc0fdcaf80394bd09b18927e7d33-v1055803c3a812189a1133297f7f5468579283f86,instance_ansible__ansible-379058__Taq6qS6,True,70,70,1.0000,03_21-100,all_passed,81,19,TRUE,TRUE,TRUE,FALSE,11,8,11,11,11,10,1,4,False,False,lib/ansible/module_utils/basic.py; lib/ansible/module_utils/common/_collections_compat.py; lib/ansible/module_utils/common/collections.py; lib/ansible/module_utils/common/dict_transformations.py; lib/ansible/module_utils/common/json.py; lib/ansible/module_utils/common/parameters.py; lib/ansible/module_utils/common/text/converters.py; lib/ansible/module_utils/compat/_selectors2.py; lib/ansible/modules/uri.py; lib/ansible/plugins/shell/__init__.py; test/lib/ansible_test/_util/controller/sanity/pylint/plugins/unwanted.py
ansible-395e5e20,ansible,https://github.com/ansible/ansible/commit/395e5e20fab9cad517243372fa3c3c5d9e09ab2a,Title,reject,leaked,"The instruction substantially reveals the exact implementation path and symbols introduced by the patch, beyond describing behavior. It names exact internal files and concrete types: ""The module `lib/ansible/executor/play_iterator.py` must expose two public enumerations: IteratingStates ... and FailedStates as an `IntFlag`"", and further specifies ""The golden patch introduces: ... Name: `MetaPlayIterator` ... Description: Intercepts legacy attribute access on the `PlayIterator` class"". It also prescribes modified modules: ""This includes usage within `run_state`, `fail_state`, and related control structures in `play_iterator.py`, `strategy/__init__.py`, and `strategy/linear.py`."" These details let a reader reconstruct the fix directly rather than reason from the bug report. The reference tests are otherwise aligned with the instruction: they import `IteratingStates` and `FailedStates`, verify deprecated `PlayIterator.ITERATING_*` / `FAILED_*` access at class and instance level, and exercise unchanged iteration behavior.",instance_ansible__ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a-v7eee2454f617569fd6889f2211f75bc02a35f9f8,instance_ansible__ansible-395e5e__FMRcyGM,True,8,8,1.0000,02_6-20,all_passed,295,39,TRUE,TRUE,TRUE,FALSE,4,1,27,3,3,3,0,5,True,True,lib/ansible/executor/play_iterator.py; lib/ansible/plugins/strategy/__init__.py; lib/ansible/plugins/strategy/linear.py
ansible-40ade1f8,ansible,https://github.com/ansible/ansible/pull/83508,**Setup module: mounts not starting with `/` are not listed in `ansible_mount` facts**,accept,narrow_tests,"The instruction specifies the public module contract at a high level, but the reference tests require additional unstated internal APIs, exact source-resolution behavior, and precise message text. For example, tests directly call internal helpers and expect exact names/signatures not mentioned in the instruction: `module = AnsibleModule(argument_spec=mount_facts.get_argument_spec(), supports_check_mode=True)`, `list(mount_facts.gen_mounts_by_source(module))`, `mount_facts.get_mount_facts(module)`, and parser helpers like `gen_fstab_entries`, `gen_vfstab_entries`, `gen_mnttab_entries`, `gen_aix_filesystems_entries`, `gen_mounts_from_stdout`, `get_partition_uuid`, and `handle_deduplication`. The instruction only says `Name: mount_facts` and describes inputs/outputs; it does not require these helper symbols. Tests also encode design choices absent from the instruction, e.g. default source expansion and fallback semantics: `([""all""], rhel_mock_fs, rhel9_4.mount, rhel9_4.mtab_parsed + rhel9_4.fstab_parsed)` and warning on duplicate resolved sources: `expected_warning = ""mount_facts option 'sources' contains duplicate entries, repeat sources will be ignored:""`. Finally, assertions depend on exact error/warning wording such as `match=""argument 'timeout' must be a positive number or null""`, `match=""sources contains an empty string""`, and `match=""Command '[^']*mount' timed out after 0.0 seconds""`, while the instruction only specifies timeout behavior conceptually (`supporting actions to 'error', 'warn', or 'ignore'`) and does not specify message text.",instance_ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34-v6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,instance_ansible__ansible-40ade1__6oRqBEQ,True,48,48,1.0000,03_21-100,all_passed,653,1194,TRUE,FALSE,TRUE,FALSE,2,5,3,3,2,2,0,20,True,True,changelogs/fragments/83508_mount_facts.yml; lib/ansible/modules/mount_facts.py; test_reproduce.py
ansible-83909bfa,ansible,https://github.com/ansible/ansible/pull/72288,"""# ansible-galaxy login command removal and migration to API token authentication\n\n## Description:\n\n The ansible-gal",reject,ok,"The instruction matches the changed test surface and the diff. It explicitly requires removing the login functionality: ""The implementation must completely remove the ansible-galaxy login submodule by eliminating the login.py file and all its associated functionalities,"" which aligns with the diff deleting `lib/ansible/galaxy/login.py` and removing `test_parse_login` from `test/units/cli/test_galaxy.py`. It also requires updating Galaxy API auth guidance: ""The functionality must update the error message in the Galaxy API to indicate the new authentication options via token file or --token parameter,"" which matches `test_api_no_auth_but_required()` expecting `""No access token or username set. A token can be set with --api-key or at ""` and the diff changing `_add_auth_token` accordingly. Finally, it requires CLI validation for the removed command: ""The implementation must add validation in the Galaxy CLI to detect attempts to use the removed login command and display an informative error message with alternatives,"" which matches the new guard added in `lib/ansible/cli/galaxy.py` for `args[1:3] == ['role', 'login']`. The provided reference tests are broad existing suites, but the relevant modified assertions are predictable from the instruction rather than introducing unstated requirements.",instance_ansible__ansible-83909bfa22573777e3db5688773bda59721962ad-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,instance_ansible__ansible-83909b__osdMgW5,False,149,150,0.9933,04_101+,near_miss,201,10,TRUE,TRUE,TRUE,FALSE,7,2,4,2,2,2,0,12,True,True,lib/ansible/cli/galaxy.py; lib/ansible/galaxy/api.py
ansible-a6e671db,ansible,https://github.com/ansible/ansible/pull/78223,**Title: Incorrect Processor Facts Reported on AIX**,reject,ok,"The instruction and tests are closely aligned on the required behavior. The instruction explicitly specifies the same facts and semantics the tests assert: 'The `processor_count` fact should be set to a constant value of `1`', '`processor_cores` fact should represent the total number of processor cores detected from the device list output', '`processor_threads_per_core` fact should default to `1` when no value is available, or use the reported value when present', '`processor_vcpus` fact should be derived by multiplying `processor_cores` and `processor_threads_per_core`', and '`processor` fact should be provided as a list containing the CPU type string extracted from the device attributes.' The test `test_get_cpu_info` asserts exactly those outcomes via `assert scenario['expected_result'] == inst.get_cpu_facts()`, with expected results such as `{'processor': ['PowerPC_POWER7'], 'processor_count': 1, 'processor_cores': 12, 'processor_threads_per_core': 4, 'processor_vcpus': 48}`. Fixtures mock command outputs for the device list and attributes, but that matches the instruction's described data sources ('detected from the device list output' and 'extracted from the device attributes') rather than introducing an unstated design constraint. No private APIs or format-only assertions are involved.",instance_ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05-v0f01c69f1e2528b935359cfe578530722bca2c59,instance_ansible__ansible-a6e671__E9gkgRD,True,2,2,1.0000,01_1-5,all_passed,30,99,TRUE,FALSE,TRUE,FALSE,2,2,3,3,1,1,0,7,True,True,lib/ansible/module_utils/facts/hardware/aix.py; test_aix_cpu.py; test_aix_cpu_edge.py
ansible-b2a289dc,ansible,https://github.com/ansible/ansible/pull/83221,"""# Title: Drop support for Python 3.10 on the controller.\n\n**Summary**\n\nCurrently, the ansible core codebase support",reject,ok,"The reference tests line up with requirements explicitly stated in the instruction. The constants test matches the controller-version bump described in the instruction and reflected by the test values: ""CONTROLLER_PYTHON_VERSIONS = ( '3.11', '3.12', '3.13', )"". The collection extraction test targets behavior the instruction names directly: ""In lib/ansible/galaxy/collection/__init__.py, _extract_tar_dir must pass the incoming dirname unchanged to tar.getmember(dirname) and raise ansible.errors.AnsibleError with the exact message \""Unable to extract '%s' from collection\"" if the member is missing."" The diff also implements these same behaviors by changing the version gate to 3.11 and replacing cache lookup with ""tar.getmember(dirname)"" while removing ""_ansible_normalized_cache"" usage. Although the top summary mentions 3.10 and one requirement line mentions ""3,12 or after,"" the actual tests, instruction body, and diff consistently center on dropping Python 3.10 controller support in favor of 3.11+. Given the retention-biased policy, this is close enough to aligned rather than unfairly narrow.",instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,instance_ansible__ansible-b2a289__5QFZuEK,True,2,2,1.0000,01_1-5,all_passed,110,24,TRUE,TRUE,TRUE,FALSE,9,5,23,8,4,4,0,15,True,True,changelogs/fragments/drop-python-3.10-controller.yml; lib/ansible/cli/__init__.py; lib/ansible/compat/importlib_resources.py; lib/ansible/galaxy/collection/__init__.py; lib/ansible/galaxy/role.py; lib/ansible/module_utils/urls.py; lib/ansible/utils/collection_loader/_collection_finder.py; setup.cfg
ansible-c1f2df47,ansible,https://github.com/ansible/ansible/pull/58190,Title: Add Ansible module to manage BIG-IP message routing routes,reject,leaked,"The instruction goes far beyond describing the feature and effectively prescribes the implementation and test contract. It names exact internal classes and methods such as ""Name: `ModuleParameters`"", ""Name: `ApiParameters`"", ""Name: `Difference`"", and even method-level behavior like ""Name: `peers` Type: method Location: `lib/ansible/modules/network/f5/bigip_message_routing_route.py` inside `ModuleParameters`"". It also mirrors the test assertions directly: ""When executed with `state=\""present\""` and the route does not exist, the result must indicate `changed=True` and include the provided parameter values"" and ""The module result dictionary must include `description`, `src_address`, `dst_address`, `peer_selection_mode`, and `peers` when they are provided or changed."" That level of detail reveals the implementation path rather than just the desired behavior.",instance_ansible__ansible-c1f2df47538b884a43320f53e787197793b105e8-v906c969b551b346ef54a2c0b41e04f632b7b73c2,instance_ansible__ansible-c1f2df__SU3AGPi,False,3,4,0.7500,01_1-5,near_miss,553,199,TRUE,FALSE,FALSE,FALSE,1,2,1,1,1,1,0,5,True,True,lib/ansible/modules/network/f5/bigip_message_routing_route.py
ansible-e0c91af4,ansible,https://github.com/ansible/ansible/pull/82794,Obsolete use of ansible.utils.py3compat.environ in the “env” lookup plugin,reject,ok,"The instruction and tests align on the core behavioral contract. The instruction explicitly says: ""The `run` method of the `env` lookup module must obtain each requested environment variable using `os.environ.get()` together with the plugin’s configured default value and return a list with the values obtained. It must support UTF‑8 values and return the strings exactly as provided by `os.environ`, without alterations."" The reference tests check exactly that mechanism and behavior by monkeypatching `os.environ.get` and asserting `retval == [exp_value]` for both ASCII-like values and UTF-8 values in `test_env_var_value` and `test_utf8_env_var_value`. There are no private APIs accessed, no extra fixture design choices beyond using the existing `env` lookup plugin, and no format-only assertions.",instance_ansible__ansible-e0c91af45fa9af575d10fd3e724ebc59d2b2d6ac-v30a923fb5c164d6cd18280c02422f75e611e8fb2,instance_ansible__ansible-e0c91a__Mo2xkd3,True,4,4,1.0000,01_1-5,all_passed,78,4,TRUE,TRUE,TRUE,FALSE,4,1,2,1,1,1,0,1,False,True,lib/ansible/plugins/lookup/env.py
ansible-e9e60012,ansible,https://github.com/ansible/ansible/pull/84735,"""## Title\n\nWinRM Kerberos: Obtaining the TGT with `kinit` fails or is inconsistent depending on the environment and th",reject,ok,"The instruction closely matches what the tests assert for the Kerberos `kinit` flow. It explicitly specifies subprocess/stdin behavior — ""must work without relying on optional third-party libraries"" and ""must read the password from `stdin` on all platforms and not inherit the current TTY"" — which aligns with the test coverage around `subprocess.Popen`. It also names the option semantics checked by tests: ""`ansible_winrm_kinit_cmd` must be accepted"", ""`ansible_winrm_kinit_args` must be accepted ... appended ... before the Kerberos principal"", and ""If `ansible_winrm_kerberos_delegation` is `True` and no `kinit_args` are specified, the `kinit` command must include `-f` before the principal."" The instruction further precisely specifies the error text asserted by tests: ""`Kerberos auth failure for principal <principal>: <redacted_stderr>`"" and ""`Kerberos auth failure when calling kinit cmd '<path_or_name>': <system_error>`."" While the tests do call the private `_kerb_auth` helper, the instruction names the relevant behavioral contract in enough detail that this does not create an unfair hidden requirement, and the remaining tests outside `_kerb_auth` are pre-existing/general WinRM behavior not in conflict with the described change.",instance_ansible__ansible-e9e6001263f51103e96e58ad382660df0f3d0e39-v30a923fb5c164d6cd18280c02422f75e611e8fb2,instance_ansible__ansible-e9e600__Vo2dsrg,False,26,28,0.9286,03_21-100,near_miss,96,122,TRUE,FALSE,TRUE,FALSE,2,1,3,1,1,1,0,6,True,True,lib/ansible/plugins/connection/winrm.py
openlibrary-25858f9f,openlibrary,https://github.com/internetarchive/openlibrary/commit/25858f9f0c165df25742acf8309ce909773f0cdd,"""# Enhancement: Refactor Solr Utility Logic to Improve Maintainability\n\n## Problem / Opportunity\n\nCurrently, Solr-re",reject,ok,"The instruction and tests are closely aligned around extracting Solr utility/state/update logic into a dedicated module. The instruction explicitly names the new API surface: ""Move all Solr utility functions, configuration loaders, and shared state ... to a new `solr/utils.py` file"" and lists `SolrUpdateState`, `load_config`, `get_solr_base_url`, `set_solr_base_url`, `get_solr_next`, `set_solr_next`, `solr_update`, and `solr_insert_documents`. The reference tests in `openlibrary/tests/solr/test_utils.py` import exactly `from openlibrary.solr.utils import SolrUpdateState, solr_update` and exercise the required behavior for ""success, service unavailability, invalid requests, network errors, and partial failures in batch updates,"" which is also stated in the instruction. The broader `test_update_work.py` coverage still targets existing update/build behavior and only reflects the refactor by removing imports of `SolrUpdateState`/`solr_update` from `update_work`, which matches the diff moving those symbols into `openlibrary/solr/utils.py`. There are no fixture-only hidden design constraints beyond the named public API, no private API access, and no brittle format assertions.",instance_internetarchive__openlibrary-25858f9f0c165df25742acf8309ce909773f0cdd-v13642507b4fc1f8d234172bf8129942da2c2ca26,instance_internetarchive__openli__oTxSkjx,True,39,39,1.0000,03_21-100,all_passed,419,294,TRUE,TRUE,TRUE,FALSE,4,2,11,4,4,4,0,8,True,True,openlibrary/solr/update_edition.py; openlibrary/solr/update_work.py; openlibrary/solr/utils.py; scripts/solr_builder/solr_builder/index_subjects.py
