task_id,repo,github_pr,commit_sha,base_sha,merge_base_sha,title,human_reviewer_comments,new_eval_verdict,new_alignment_verdict,new_eval_reason,new_alignment_reason,swebench_instance_id,author,date,score,has_test_patch,is_multi_file,is_multi_package,is_refactoring,packages_touched,package_names,source_files,test_files,other_files,source_lines_changed,test_lines_changed,f2p_tests,p2p_tests,summary,match_key_used,new_task_id,new_stage,new_hardness_band,new_hardness_verdict,new_alignment_verdict,new_alignment_reason,new_needs_human_review,new_human_review_reason,new_swebench_instance_id,new_commit_sha,agent_success,agent_f2p_tests_passed,agent_f2p_tests_total
ansible-c1f2df47,ansible,https://github.com/ansible/ansible/pull/58190,c1f2df47538b884a43320f53e787197793b105e8,57596edcca0ef3bc4d0d90a55d33ac433b407abb,57596edcca0ef3bc4d0d90a55d33ac433b407abb,Title: Add Ansible module to manage BIG-IP message routing routes,addition of a new module,reject,leaked,"matches BT1 pattern — trivial core logic in a complex repo. The commit adds a new Ansible module for BIG-IP message routing routes, but the core logic is entirely boilerplate: parameter passthrough classes (Parameters, ApiParameters, ModuleParameters, Changes), a standard CRUD manager pattern (BaseManager, GenericModuleManager) with exists/create/update/remove methods that follow the exact same template as dozens of other F5 modules in the repo, and standard REST API calls. There is no meaningful integration challenge — the module is self-contained with no wiring into existing systems beyond importing shared utility functions. The tests are also trivial, mocking all device interactions and just checking parameter passthrough. All models would follow the same copy-existing-F5-module-and-adapt strategy with no divergence in approach (Q1 fails, Q2 fails). Additionally, this is a pre-Sept-2025 commit in a very well-known repo with high contamination risk (Q5).","The instruction goes far beyond describing the feature and effectively prescribes the implementation and test contract. It names exact internal classes and methods such as ""Name: `ModuleParameters`"", ""Name: `ApiParameters`"", ""Name: `Difference`"", and even method-level behavior like ""Name: `peers` Type: method Location: `lib/ansible/modules/network/f5/bigip_message_routing_route.py` inside `ModuleParameters`"". It also mirrors the test assertions directly: ""When executed with `state=\""present\""` and the route does not exist, the result must indicate `changed=True` and include the provided parameter values"" and ""The module result dictionary must include `description`, `src_address`, `dst_address`, `peer_selection_mode`, and `peers` when they are provided or changed."" That level of detail reveals the implementation path rather than just the desired behavior.",instance_ansible__ansible-c1f2df47538b884a43320f53e787197793b105e8-v906c969b551b346ef54a2c0b41e04f632b7b73c2,swebench-pro,,3.5,TRUE,FALSE,FALSE,FALSE,1,lib,lib/ansible/modules/network/f5/bigip_message_routing_route.py,test/units/modules/network/f5/fixtures/load_generic_route.json; test/units/modules/network/f5/test_bigip_message_routing_route.py,,553,199,,,,swebench_instance_id,ansible-c1f2df47,rejected,,,,,FALSE,,instance_ansible__ansible-c1f2df47538b884a43320f53e787197793b105e8-v906c969b551b346ef54a2c0b41e04f632b7b73c2,c1f2df47538b884a43320f53e787197793b105e8,FALSE,3,4
qutebrowser-3fd8e129,qutebrowser,https://github.com/qutebrowser/qutebrowser/pull/7809,3fd8e12949b8feda401930574facf09dd4180bba,a19634474246739027f826968ea34e720c0ec987,a19634474246739027f826968ea34e720c0ec987,Standardize command naming with consistent cmd- prefix,,reject,leaked,"matches BT1 pattern — trivial core logic in a complex repo. The commit is a mechanical rename of command names (adding 'cmd-' prefix) across the codebase. The core logic is purely find-and-replace: rename functions, update decorator `name` parameters, add `deprecated_name` arguments, and update all references in tests/docs/scripts. There is no architectural reasoning, integration complexity, or behavioral subtlety. Q1: Models will not diverge in approach — every model will follow the same mechanical rename strategy. Q2: The core problem is not genuinely hard; it's a systematic string replacement with no semantic challenge.","The instruction discloses the concrete implementation path and renamed internal API rather than just the behavioral requirement. It names exact files and symbols, e.g. ""Type: Command\nName: cmd-edit\nPath: qutebrowser/mainwindow/statusbar/command.py"", ""Type: Method\nName: cmd_set_text\nPath: qutebrowser/mainwindow/statusbar/command.py"", and even mandates that ""Internal function implementations should be renamed to match the new cmd-prefixed command names"". The diff follows those exact implementation details, e.g. renaming `set_cmd_text` to `cmd_set_text` and `edit_command` to `cmd_edit` in `qutebrowser/mainwindow/statusbar/command.py`. The reference tests themselves are relatively aligned with the behavioral goal: they call `utilcmds.cmd_repeat_last(win_id=0)` and use `:cmd-run-with-count` in the fixture, matching the rename requirement rather than introducing hidden extra requirements.",instance_qutebrowser__qutebrowser-3fd8e12949b8feda401930574facf09dd4180bba,swebench-pro,,9.5,TRUE,TRUE,TRUE,FALSE,3,doc; qutebrowser; scripts,doc/help/commands.asciidoc; qutebrowser/browser/hints.py; qutebrowser/components/scrollcommands.py; qutebrowser/mainwindow/statusbar/command.py; qutebrowser/misc/utilcmds.py; scripts/dev/build_release.py,scripts/dev/quit_segfault_test.sh; tests/end2end/features/completion.feature; tests/end2end/features/editor.feature; tests/end2end/features/misc.feature; tests/end2end/features/private.feature; tests/end2end/features/prompts.feature; tests/end2end/features/search.feature; tests/end2end/features/tabs.feature; tests/end2end/features/utilcmds.feature; tests/end2end/fixtures/quteprocess.py; tests/unit/misc/test_utilcmds.py,,244,234,,,,swebench_instance_id,qutebrowser-3fd8e129,rejected,,,,,FALSE,,instance_qutebrowser__qutebrowser-3fd8e12949b8feda401930574facf09dd4180bba,3fd8e12949b8feda401930574facf09dd4180bba,FALSE,2,3
ansible-b748edea,ansible,,b748edea457a4576847a10275678127895d2f02f,08da8f49b83adec1427abb350d734e6c0569410e,08da8f49b83adec1427abb350d734e6c0569410e,"""## Title\n\nMissing structured support for multipart form data in HTTP operations\n\n## Problem Description\n\nThe syst",,accept,leaked,"Q1: Models will diverge in approach due to multi-layer integration complexity. This commit requires creating a new `prepare_multipart` helper using Python's email.mime libraries, integrating it into the galaxy API (replacing hand-rolled multipart encoding), wiring it into the uri module's body_format handling, AND modifying the action plugin to handle file transfer for multipart fields. The preservation-while-adding principle applies: existing galaxy collection publishing must continue working while the new structured multipart support is added. Q3: Reference tests exist (unit tests for prepare_multipart with fixture files, integration tests for uri module, updated galaxy API tests). Q4: Pure Python. Q2: The core problem is genuinely hard — it requires cross-module reasoning across module_utils/urls.py, modules/uri.py, plugins/action/uri.py, and galaxy/api.py, with correct MIME encoding, boundary handling, and Py2/Py3 compatibility.","The instruction closely matches the tests, but it overspecifies the implementation path by naming exact internal files, functions, and private plugin behavior. For example it says: ""The `publish_collection` method in `lib/ansible/galaxy/api.py` should support structured multipart/form-data payloads using the `prepare_multipart` utility."", ""The function `prepare_multipart` should be present in `lib/ansible/module_utils/urls.py`"", and ""When `body_format` is `form-multipart` in `lib/ansible/plugins/action/uri.py`, the plugin should check that `body` is a `Mapping` and raise an `AnsibleActionFail`..."". Those are effectively the fix recipe reflected in the diff, e.g. `from ansible.module_utils.urls import open_url, prepare_multipart`, `def prepare_multipart(fields):`, and multipart-specific handling added to `lib/ansible/plugins/action/uri.py`. The reference tests themselves are largely aligned with that contract, so the primary issue is leakage rather than narrowness.",instance_ansible__ansible-b748edea457a4576847a10275678127895d2f02f-v1055803c3a812189a1133297f7f5468579283f86,swebench-pro,,9,TRUE,TRUE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/multipart.yml; lib/ansible/galaxy/api.py; lib/ansible/module_utils/urls.py; lib/ansible/modules/uri.py; lib/ansible/plugins/action/uri.py,test/integration/targets/ansible-galaxy-collection/tasks/build.yml; test/integration/targets/ansible-galaxy-collection/tasks/download.yml; test/integration/targets/ansible-galaxy-collection/tasks/init.yml; test/integration/targets/ansible-galaxy-collection/tasks/install.yml; test/integration/targets/ansible-galaxy-collection/tasks/publish.yml; test/integration/targets/ansible-galaxy-collection/vars/main.yml; test/integration/targets/uri/files/formdata.txt; test/integration/targets/uri/tasks/main.yml; test/lib/ansible_test/_internal/cloud/fallaxy.py; test/sanity/ignore.txt; test/units/galaxy/test_api.py; test/units/module_utils/urls/fixtures/multipart.txt; ...(+1 more),,269,356,,,,swebench_instance_id,ansible-b748edea,promising,,,,,FALSE,,instance_ansible__ansible-b748edea457a4576847a10275678127895d2f02f-v1055803c3a812189a1133297f7f5468579283f86,b748edea457a4576847a10275678127895d2f02f,FALSE,45,46
ansible-d33bedc4,ansible,,d33bedc48fdd933b5abd65a77c081876298e2f07,dcc5dac1846be3bf6e948a2950b93477b9193076,dcc5dac1846be3bf6e948a2950b93477b9193076,"""## config values returned by get_option() may lose tags \n\n## Summary: The ensure_type() function in Ansible's config",,accept,leaked,"Q1: Models will diverge on approach. This commit touches multiple interconnected systems: type coercion (ensure_type rewrite with match/case, tag propagation, strict input validation), config templating (error handling), data tag preservation across type conversions, and fixes to constants/loader for type consistency. The integration challenge per design_principles is significant — the agent must wire AnsibleTagHelper tag copying into ensure_type so that converted values preserve origin tags, while also handling the non-tag-propagation case for temp paths. Q2: The core problem is genuinely hard because it requires understanding the datatag system, how ensure_type interacts with ConfigManager.get_option, and preserving existing behavior (unquoting, path resolution) while adding tag propagation and stricter validation. Q3: Extensive tests exist covering success cases, failure cases, tag propagation, and temp path behavior. Q4: Pure Python. Q5: Recent Ansible commit with internal datatag machinery, low contamination risk.","The instruction gives away the concrete implementation path and even specific code-level strategies that match the diff, rather than only describing the bug behavior. For example it mandates: ""The ensure_type function must create and use an internal _ensure_type function"", ""The _ensure_type function must use match-case"", ""The boolean function must check if the value is hashable before attempting membership checking in BOOLEANS_TRUE/FALSE sets"", and ""The REJECT_EXTS constant must be a list instead of a tuple"". These are direct fix details reflected in the diff (for example `def _ensure_type(...)`, `match value_type:`, the hashability guard in `convert_bool.py`, and `REJECT_EXTS = ['.pyc', ...]`). The tests themselves are broadly aligned with the behavioral parts of the instruction, so the main issue is over-specification / solution leakage rather than narrowness.",instance_ansible__ansible-d33bedc48fdd933b5abd65a77c081876298e2f07-v0f01c69f1e2528b935359cfe578530722bca2c59,swebench-pro,,9,TRUE,TRUE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/ensure_type.yml; lib/ansible/config/base.yml; lib/ansible/config/manager.py; lib/ansible/constants.py; lib/ansible/module_utils/parsing/convert_bool.py; lib/ansible/plugins/loader.py; lib/ansible/utils/display.py,test/units/config/test_manager.py,,285,233,,,,swebench_instance_id,ansible-d33bedc4,promising,,,,,FALSE,,instance_ansible__ansible-d33bedc48fdd933b5abd65a77c081876298e2f07-v0f01c69f1e2528b935359cfe578530722bca2c59,d33bedc48fdd933b5abd65a77c081876298e2f07,FALSE,83,86
ansible-d72025be,ansible,,d72025be751c894673ba85caa063d835a0ad3a8c,ea164fdde79a3e624c28f90c74f57f06360d2333,ea164fdde79a3e624c28f90c74f57f06360d2333,RMB state fixes,,accept,leaked,"Q1: Models will diverge in approach due to the integration complexity — the commit touches facts gathering, config generation, argument spec, and state logic across multiple interacting modules, requiring understanding of platform-specific default states (enabled/shutdown varying by interface type, L2/L3 mode, and platform). Q2: The core problem is genuinely hard — correctly computing default enabled states based on system defaults, interface type, and mode transitions requires cross-module reasoning and careful preservation of existing behavior. Q3: Comprehensive unit tests exist (test_nxos_interfaces.py with 5 test methods covering merged/deleted/replaced/overridden states, idempotence, platform-specific defaults, and system default variations). Q4: Pure Python. Design principles: integration-is-the-discriminator applies strongly — wiring default_intf_enabled into both facts and config modules, threading intf_defs through the system, and correctly handling mode-dependent shutdown defaults is where weaker models will fail.","The instruction goes beyond behavioral requirements and names exact implementation entry points and internal symbols that mirror the patch. For example it specifies: ""Method: `edit_config` Location: `lib/ansible/module_utils/network/nxos/config/interfaces/interfaces.py` (class `Interfaces`)""; ""Method: `default_enabled` Location: `lib/ansible/module_utils/network/nxos/config/interfaces/interfaces.py`""; and ""Function: `default_intf_enabled` Location: `lib/ansible/module_utils/network/nxos/nxos.py`"". It also prescribes exact fact commands: ""Facts gathering must query both `show running-config all | incl 'system default switchport'` and `show running-config | section ^interface'`."" These are implementation-path details, not just externally observable behavior, and closely match the diff and tests.",instance_ansible__ansible-d72025be751c894673ba85caa063d835a0ad3a8c-v390e508d27db7a51eece36bb6d9698b63a5b638a,swebench-pro,,7.5,TRUE,TRUE,FALSE,FALSE,1,lib,lib/ansible/module_utils/network/nxos/argspec/interfaces/interfaces.py; lib/ansible/module_utils/network/nxos/config/interfaces/interfaces.py; lib/ansible/module_utils/network/nxos/facts/interfaces/interfaces.py; lib/ansible/module_utils/network/nxos/nxos.py; lib/ansible/modules/network/nxos/nxos_interfaces.py,test/integration/targets/nxos_interfaces/tasks/main.yaml; test/integration/targets/nxos_interfaces/tests/cli/deleted.yaml; test/integration/targets/nxos_interfaces/tests/cli/merged.yaml; test/integration/targets/nxos_interfaces/tests/cli/overridden.yaml; test/integration/targets/nxos_interfaces/tests/cli/replaced.yaml; test/units/modules/network/nxos/test_nxos_interfaces.py,,294,723,,,,swebench_instance_id,ansible-d72025be,promising,,,,,FALSE,,instance_ansible__ansible-d72025be751c894673ba85caa063d835a0ad3a8c-v390e508d27db7a51eece36bb6d9698b63a5b638a,d72025be751c894673ba85caa063d835a0ad3a8c,FALSE,0,5
ansible-de5858f4,ansible,,de5858f48dc9e1ce9117034e0d7e76806f420ca8,a1730af91f94552e8aaff4bedfb8dcae00bd284d,a1730af91f94552e8aaff4bedfb8dcae00bd284d,"""# Add Caching Support for Ansible Galaxy API Requests. \n\n## Description. \n\nWhen using the `ansible-galaxy collectio",,accept,leaked,"Q1: Models will diverge in approach because the task requires integrating a caching layer into an existing API client class with multiple interacting concerns — thread-safe cache loading/writing, cache invalidation based on collection modification dates, paginated response reconstruction from cache, and wiring CLI options through to API construction. Q2: The core problem is genuinely hard because it requires cross-module reasoning (CLI argument parsing → GalaxyAPI constructor → _call_galaxy method → cache persistence) and preservation of existing behavior while adding caching. The design_principles 'integration is the discriminating step' and 'preserving existing behavior while adding new behavior' both apply strongly. Reference tests exist (unit tests for cache operations, integration tests for cache invalidation on version changes). Pure Python. Contamination risk is moderate (pre-2025 Ansible commit) but the feature is non-trivial enough that memorization alone won't solve integration.","The instruction largely matches what the tests exercise, but it over-reveals the implementation path and internal API. It explicitly names private/internal details and exact symbols that appear in the diff and tests, e.g. ""Handle rejection or ignoring of world-writable cache files in `_load_cache`"", ""Ensure concurrency-safe access to the cache using _CACHE_LOCK"", and ""Implement `_call_galaxy` and related caching logic"". It also names exact file locations and config paths: ""referencing a directory specified by `GALAXY_CACHE_DIR` in `lib/ansible/config/base.yml`"" and ""The `cache_lock` function, defined in `lib/ansible/galaxy/api.py`"". Those are fix-like implementation details rather than problem-level requirements.",instance_ansible__ansible-de5858f48dc9e1ce9117034e0d7e76806f420ca8-v1055803c3a812189a1133297f7f5468579283f86,swebench-pro,,8,TRUE,TRUE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/galaxy-cache.yml; lib/ansible/cli/galaxy.py; lib/ansible/config/base.yml; lib/ansible/galaxy/api.py,test/integration/targets/ansible-galaxy-collection/library/setup_collections.py; test/integration/targets/ansible-galaxy-collection/tasks/install.yml; test/integration/targets/ansible-galaxy-collection/tasks/main.yml; test/integration/targets/ansible-galaxy-collection/vars/main.yml; test/units/galaxy/test_api.py,,254,184,,,,swebench_instance_id,ansible-de5858f4,promising,,,,,FALSE,,instance_ansible__ansible-de5858f48dc9e1ce9117034e0d7e76806f420ca8-v1055803c3a812189a1133297f7f5468579283f86,de5858f48dc9e1ce9117034e0d7e76806f420ca8,FALSE,57,58
qutebrowser-ff1c025a,qutebrowser,,ff1c025ad3210506fc76e1f604d8c8c27637d88e,e545faaf7b18d451c082f697675f0ab0e7599ed1,e545faaf7b18d451c082f697675f0ab0e7599ed1,"Title: Default font size variable for UI fonts ## Description: Qutebrowser lets users set a default font family, but the",,accept,leaked,"Q1: Models will diverge on integration strategy. This task requires threading a new config variable (fonts.default_size) through multiple layers: config data definitions, config type validation (adding regex support to String type), Font/QtFont type resolution with default_size substitution, initialization/update propagation logic, and ensuring existing default_family behavior is preserved. Per design_principles, 'preserving existing behavior while adding new behavior is a genuine trap' — the agent must wire default_size into the existing default_family propagation system without breaking it. Q3: Reference tests exist across test_configinit.py, test_configtypes.py, and fixtures. Q4: Pure Python. The integration across configdata.yml, configinit.py, configtypes.py is where weaker models will fail — they need to understand the change_filter pattern replacement, the Font regex modification, and the QtFont size resolution path simultaneously.","The instruction substantially reveals the implementation path and exact symbols changed by the PR rather than only describing the desired behavior. It names internal files and functions/classes and even prescribes code-level mechanics, e.g. ""The file configtypes.py should add a classmethod on Font named set_defaults(default_family, default_size)"", ""The file configinit.py should provide a function named _update_font_defaults"", and ""The file configinit.py should ensure late_init(...) calls configtypes.Font.set_defaults(config.val.fonts.default_family, config.val.fonts.default_size or \""10pt\"") and connects config.instance.changed to _update_font_defaults"". Those are implementation-revealing details rather than merely behavioral requirements.",instance_qutebrowser__qutebrowser-ff1c025ad3210506fc76e1f604d8c8c27637d88e-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,swebench-pro,,6.5,TRUE,TRUE,TRUE,FALSE,2,doc; qutebrowser,doc/changelog.asciidoc; qutebrowser/config/configdata.yml; qutebrowser/config/configinit.py; qutebrowser/config/configtypes.py,tests/helpers/fixtures.py; tests/unit/config/test_configinit.py; tests/unit/config/test_configtypes.py,,95,48,,,,swebench_instance_id,qutebrowser-ff1c025a,promising,,,,,FALSE,,instance_qutebrowser__qutebrowser-ff1c025ad3210506fc76e1f604d8c8c27637d88e-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,ff1c025ad3210506fc76e1f604d8c8c27637d88e,FALSE,1533,1537
ansible-1a4644ff,ansible,,1a4644ff15355fd696ac5b9d074a566a80fe7ca3,1503805b703787aba06111f67e7dc564e3420cad,1503805b703787aba06111f67e7dc564e3420cad,"""## Title:\npsrp connection plugin accepts undocumented extras, causing ambiguous and inconsistent configuration.\n\n###",,reject,leaked,"matches BT1 pattern — trivial core logic in a complex repo. The commit removes `allow_extras = True`, eliminates intermediate instance variables in favor of direct `get_option()` calls into a dict, and removes version-checking shims for old pypsrp. The core logic is straightforward parameter passthrough simplification with no architectural reasoning required. All models would follow the same find-and-simplify strategy with no meaningful divergence (Q1 fails, Q2 fails). The test changes are mechanical adjustments to match the simplified attribute structure.","The instruction discloses the exact internal implementation targets and private API the tests exercise, effectively prescribing the fix. It explicitly names private symbols and structures: ""The `_psrp_conn_kwargs` structure must reflect the effective configuration obtained from `get_option()`"", and ""The `allow_extras` attribute and any reference to `AUTH_KWARGS` must be eliminated"". The tests then directly call the private helper and inspect internals: `conn._build_kwargs()` and `getattr(conn, attr)` for `_psrp_conn_kwargs`, `_psrp_port`, `_psrp_auth`, etc. This is not a narrow-tests problem because the instruction already names those internals; rather, it over-reveals the implementation path.",instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,swebench-pro,,7,TRUE,FALSE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/psrp-extras.yml; lib/ansible/plugins/connection/psrp.py,test/units/plugins/connection/test_psrp.py,,116,106,,,,swebench_instance_id,ansible-1a4644ff,rejected,,,,,FALSE,,instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,1a4644ff15355fd696ac5b9d074a566a80fe7ca3,FALSE,0,11
ansible-5640093f,ansible,,5640093f1ca63fd6af231cc8a7fb7d40e1907b8c,a5a13246ce02fd4c4ce997627b4f42152e59d288,a5a13246ce02fd4c4ce997627b4f42152e59d288,"""## Title\n\n`module_defaults` of the underlying module are not applied when invoked via action plugins (`gather_facts`,",,accept,leaked,"Q1: Models will diverge in approach because the fix requires understanding how module_defaults propagate through action plugins (gather_facts, package, service) to their underlying modules. The core challenge is integration-level: the agent must recognize that the redirect_list used for resolving module_defaults must come from the actual underlying module's plugin context rather than the parent action plugin's internal redirect list. This requires cross-module reasoning across executor/module_common.py, multiple action plugins, and understanding the plugin loader's find_plugin_with_context mechanism. Q3: Reference tests exist in both unit tests and integration tests. Q4: Pure Python. Design principle 'preserving existing behavior while adding new behavior' applies — the legacy name handling in get_action_args_with_defaults must be added without breaking existing FQCN resolution.","The instruction substantially reveals the implementation path and private APIs touched by the fix. It names exact internal functions and even the retrieval logic the diff adds: ""`gather_facts._get_module_args` must obtain the actual `redirect_list` from the module via `module_loader.find_plugin_with_context(fact_module, collection_list=self._task.collections).redirect_list`"", ""`package.run` must resolve the context of the managed module ... with `module_loader.find_plugin_with_context(module, collection_list=self._task.collections)` and use `context.redirect_list`"", and ""`gather_facts.run` must work with a copy of `FACTS_MODULES` (e.g., `modules = list(C.config.get_config_value(...))`)"". These map almost verbatim to the diff and expose the exact code-level fix rather than just the behavioral requirement.",instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,swebench-pro,,8,TRUE,TRUE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/73864-action-plugin-module-defaults.yml; lib/ansible/executor/module_common.py; lib/ansible/plugins/action/gather_facts.py; lib/ansible/plugins/action/package.py; lib/ansible/plugins/action/service.py,test/integration/targets/gathering_facts/runme.sh; test/integration/targets/gathering_facts/test_module_defaults.yml; test/integration/targets/package/tasks/main.yml; test/integration/targets/service/tasks/tests.yml; test/units/plugins/action/test_gather_facts.py,,31,215,,,,swebench_instance_id,ansible-5640093f,promising,,,,,FALSE,,instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,5640093f1ca63fd6af231cc8a7fb7d40e1907b8c,FALSE,0,4
ansible-9759e0ca,ansible,,9759e0ca494de1fd5fc2df2c5d11c57adbe6007c,fce22529c4f5a7293f12979e7cb45f5ed9f6e9f7,fce22529c4f5a7293f12979e7cb45f5ed9f6e9f7,Support for upgrading Ansible Galaxy collections via `--upgrade` option.,,accept,leaked,"Q1: Models will diverge in approach — this feature requires threading a new `--upgrade` flag through multiple layers (CLI argument parsing → install_collections → _resolve_depenency_map → dependency resolver provider), modifying the provider's candidate selection logic to conditionally prefer newer versions over installed ones, and removing a previously-existing InconsistentCandidate error handler while replacing it with cleaner resolution behavior. Q2: The core problem is genuinely hard — the dependency resolution provider logic must correctly decide when to prefer preinstalled candidates vs. newer versions based on the upgrade flag, version comparisons, and requirement satisfaction. This is not simple parameter passthrough; the provider's `find_matches` method requires semantic reasoning about when installed versions should be kept vs. upgraded. The design_principles criterion 'preserving existing behavior while adding new behavior' applies directly — the existing install-without-upgrade path must continue working (requirements-based updates without --upgrade), while --upgrade adds transitive dependency upgrading. Integration tests (upgrade.yml with 282 lines) and unit test modifications provide verification.","The instruction discloses the concrete implementation path and private/internal APIs the patch must touch, which goes beyond describing behavior. It explicitly says: ""Implement the `--upgrade` (alias `-U`) option for the `ansible-galaxy collection install` command, defaulting to \""False\"", and ensure it is passed correctly to `install_collections`."" It further names internal functions: ""Implement upgrade-aware dependency resolution in `_resolve_depenency_map` and `build_collection_dependency_resolver`"" and ""Ensure idempotency in `install_collections`..."". The reference tests do exercise those same internal symbols, e.g. `collection._resolve_depenency_map(...)` in `test/units/galaxy/test_collection_install.py`, and the diff indeed modifies those exact locations. That makes this primarily an implementation-leaking instruction rather than a misalignment issue.",instance_ansible__ansible-9759e0ca494de1fd5fc2df2c5d11c57adbe6007c-v1055803c3a812189a1133297f7f5468579283f86,swebench-pro,,9.5,TRUE,TRUE,TRUE,FALSE,3,changelogs; docs; lib,changelogs/fragments/73336-ansible-galaxy_collection_install_upgrade.yaml; docs/docsite/rst/shared_snippets/installing_collections.txt; lib/ansible/cli/galaxy.py; lib/ansible/galaxy/collection/__init__.py; lib/ansible/galaxy/dependency_resolution/__init__.py; lib/ansible/galaxy/dependency_resolution/providers.py,test/integration/targets/ansible-galaxy-collection/tasks/download.yml; test/integration/targets/ansible-galaxy-collection/tasks/install.yml; test/integration/targets/ansible-galaxy-collection/tasks/main.yml; test/integration/targets/ansible-galaxy-collection/tasks/upgrade.yml; test/integration/targets/ansible-galaxy-collection/vars/main.yml; test/units/galaxy/test_collection_install.py,,102,348,,,,swebench_instance_id,ansible-9759e0ca,promising,,,,,FALSE,,instance_ansible__ansible-9759e0ca494de1fd5fc2df2c5d11c57adbe6007c-v1055803c3a812189a1133297f7f5468579283f86,9759e0ca494de1fd5fc2df2c5d11c57adbe6007c,FALSE,15,30
